mode,seed,room_gen,room_seen,repetition,within_r2,n_cells,n_states_in_rooms
rotation,0,0.9691980904372437,0.9971781482356104,-0.17937989864541987,0.8082032023850487,36,21520
rotation,1,0.9847875233183465,0.9972865412112766,0.12699336744568968,0.8547388770343736,36,22608
rotation,2,0.9942997472103638,0.9980730051291118,-0.101110623540626,0.8346414868180613,36,22561
rotation,3,0.9930444655821908,0.9982072728474263,-0.12247181943065724,0.7083529942109985,36,22673
rotation,4,0.979796358867332,0.9962037037037037,0.05457154825642242,0.7706086801338483,36,22682
rotation,5,0.993706635148677,0.9980456447031383,-0.16708907766126324,0.7685349875600005,36,24752
rotation,6,0.9924507039504906,0.9981304636116957,-0.1636442407660783,0.8867320780853408,36,20235
rotation,7,0.9894045716027848,0.998562392159605,-0.0846124820975221,0.7102931421024055,36,24293
translation,0,0.507257318913439,0.5182938831252542,0.9962966002729414,0.9697486294278391,36,28873
translation,1,0.5176739834352657,0.508325520249446,0.998012982547942,0.9699447827475559,36,30415
translation,2,0.504365184376718,0.5193954516664279,0.9963562839378528,0.9291966964450438,36,29593
translation,3,0.5094969368774441,0.5090052736668715,0.9980366279272297,0.968938359488692,36,29777
translation,4,0.5073594465464805,0.5167945129506091,0.9968660796423227,0.9733982862265982,36,29417
translation,5,0.510998177536943,0.5094407541533308,0.9973798858723195,0.9638964151753674,36,29818
translation,6,0.49560279445265687,0.5198637677871122,0.9966490399144012,0.8880124776725922,36,30370
translation,7,0.5139658541907799,0.5185895880053228,0.9967566941261047,0.9487211981308412,36,29893
