mode,seed,chance,room_gen,room_seen,repetition,within_r2,n_cells,n_states_in_rooms
parallel4,0,0.25,0.2595490522083119,0.2576798870921443,0.9935680484362137,0.9606847183046276,36,32852
parallel4,1,0.25,0.26656408606616855,0.26267182408000467,0.9931669265600103,0.9786186883030021,36,30899
parallel4,2,0.25,0.2633221488500156,0.2788770989925613,0.9916716783533646,0.9549443030260287,36,28221
parallel4,3,0.25,0.25890797629136025,0.268047274391332,0.9933156704946005,0.9589346818760294,36,29610
parallel4,4,0.25,0.25909629932878514,0.2707307275055804,0.9948438703888325,0.9688274997267141,36,29144
parallel4,5,0.25,0.26179882229196705,0.26981201023511947,0.9929143024182268,0.9598159994207762,36,30840
parallel4,6,0.25,0.2612286424649508,0.26240321327867366,0.9945363257094465,0.9242541246126468,36,28688
parallel4,7,0.25,0.26757114246388325,0.27204766257422863,0.9939021333889362,0.9728339129925399,36,30102
