condition,encoding,seed,n_units,fano_fields,mean_fields,chi2_poisson,chi2_p,gridness_mean,gridness_max,gridness_frac_above_0p08,omni_mean,omni_median,omni_frac_pairs_above_0p8
s4,full,9,500,0.8821,1.882,197.97,7.728e-41,-0.3241,-0.0439,0.0,0.5241,0.5791,0.282
s4,axis,0,500,1.518,2.062,314.84,5.386e-65,-0.363,0.031,0.0,0.3171,0.2632,0.085
s4,axis,1,500,1.5049,2.14,267.96,5.921e-55,-0.3673,0.2297,0.01,0.3145,0.2506,0.0933
s4,axis,2,500,1.5332,2.224,254.18,5.243e-52,-0.4006,0.0108,0.0,0.3138,0.2477,0.0957
s4,axis,3,500,1.4657,2.1,288.19,2.770e-59,-0.424,0.0523,0.0,0.3149,0.2531,0.091
s4,axis,6,500,1.3221,2.164,249.53,5.169e-51,-0.3987,0.0064,0.0,0.3204,0.27,0.0933
s4,axis,7,500,1.5947,2.162,298.55,1.671e-61,-0.4326,0.0004,0.0,0.3121,0.2291,0.0943
s4,axis,8,500,1.5184,2.208,300.49,6.418e-62,-0.4347,0.0128,0.0,0.3164,0.2594,0.1003
s4,axis,9,500,1.7509,2.272,333.85,4.524e-69,-0.3938,0.0268,0.0,0.3274,0.2838,0.086
s4,parity,0,500,1.248,1.818,358.07,3.200e-75,-0.5779,-0.091,0.0,0.3194,0.257,0.0997
s4,parity,1,500,1.0477,1.658,366.42,5.085e-77,-0.5497,-0.0816,0.0,0.3086,0.2567,0.1023
s4,parity,2,500,1.2604,1.884,355.41,1.197e-74,-0.5718,-0.0267,0.0,0.3249,0.2515,0.0957
s4,parity,3,500,1.2776,1.854,360.13,1.155e-75,-0.5948,-0.0475,0.0,0.3359,0.2859,0.1137
s4,parity,6,500,1.054,1.792,327.33,1.323e-68,-0.5545,-0.0445,0.0,0.3229,0.2794,0.099
s4,parity,7,500,1.4439,1.894,375.34,6.115e-79,-0.558,-0.0512,0.0,0.3239,0.2735,0.104
s4,parity,8,500,1.4492,1.902,363.15,2.580e-76,-0.5418,-0.0473,0.0,0.3199,0.2704,0.0857
s4,parity,9,500,1.5166,1.874,386.44,2.477e-81,-0.5724,-0.0647,0.0,0.3228,0.2692,0.1037
s4,const,0,500,1.9788,2.078,578.86,8.477e-122,-0.8801,-0.005,0.0,0.2302,0.1594,0.044
s4,const,1,500,1.969,2.106,634.42,8.748e-134,-0.888,-0.1184,0.0,0.2323,0.1677,0.0557
s4,const,2,500,1.9638,2.07,594.47,3.628e-125,-0.8864,-0.0758,0.0,0.2184,0.1437,0.0427
s4,const,3,500,2.1627,2.162,621.1,6.556e-131,-0.8454,-0.0912,0.0,0.2387,0.1653,0.0637
s4,const,6,500,2.1989,2.062,636.86,2.596e-134,-0.9245,-0.1257,0.0,0.2324,0.1687,0.0473
s4,const,7,500,2.2509,2.042,583.25,9.565e-123,-0.8578,0.0442,0.0,0.2285,0.1622,0.048
s4,const,8,500,1.9196,1.92,611.37,8.226e-129,-0.891,-0.1128,0.0,0.2249,0.1567,0.0467
s4,const,9,500,2.1336,2.232,598.89,4.045e-126,-0.882,-0.0883,0.0,0.2258,0.1684,0.0453
