condition,encoding,seed,group,m1,m2,bi_frac,raw_m1,raw_m2,raw_bi_frac,n_tuned,n_units,n_cells_vis,best_shift,pred_shift,rot_gain,corr_pred,corr_none,local_m1
s4,axis,7,c4,0.00863,0.36656,0.99815,0.02749,0.36944,0.97354,349,500,323,2,3,-0.26843,0.05401,0.32244,0.29154
s4,axis,8,c2,0.00852,0.3542,0.99409,0.0182,0.35465,0.98558,357,500,324,2,2,0.86875,0.98462,0.11587,0.18049
s4,axis,8,c4,0.00852,0.3542,0.99409,0.0182,0.35465,0.98558,357,500,324,0,3,-0.2476,0.06231,0.30991,0.28838
s4,axis,9,c2,0.00896,0.36971,0.99822,0.04349,0.37349,0.93459,365,500,323,2,2,0.81335,0.98008,0.16672,0.17427
s4,axis,9,c4,0.00896,0.36971,0.99822,0.04349,0.37349,0.93459,365,500,323,2,3,-0.31336,0.02983,0.34319,0.28346
s4,parity,0,c2,0.22008,0.01606,0.01439,0.23161,0.03223,0.05345,303,500,324,0,2,-0.16391,-0.1058,0.05812,0.31021
s4,parity,0,c4,0.22008,0.01606,0.01439,0.23161,0.03223,0.05345,303,500,324,3,3,0.326,0.51448,0.18848,0.38969
s4,parity,1,c2,0.22352,0.01702,0.01379,0.23015,0.0321,0.05045,308,500,324,0,2,-0.20653,-0.13535,0.07118,0.30334
s4,parity,1,c4,0.22352,0.01702,0.01379,0.23015,0.0321,0.05045,308,500,324,3,3,0.34804,0.51882,0.17078,0.38017
s4,parity,2,c2,0.22584,0.01951,0.02088,0.23399,0.02652,0.03854,304,500,324,0,2,-0.17484,-0.11259,0.06225,0.30969
s4,parity,2,c4,0.22584,0.01951,0.02088,0.23399,0.02652,0.03854,304,500,324,3,3,0.29402,0.48684,0.19282,0.38532
s4,parity,3,c2,0.23395,0.01716,0.0175,0.24345,0.03454,0.06158,314,500,324,0,2,-0.29867,-0.17573,0.12294,0.31701
s4,parity,3,c4,0.23395,0.01716,0.0175,0.24345,0.03454,0.06158,314,500,324,3,3,0.26432,0.47724,0.21291,0.39132
s4,parity,6,c2,0.22459,0.0173,0.01754,0.23101,0.02773,0.03976,305,500,324,0,2,-0.15583,-0.10059,0.05524,0.31255
s4,parity,6,c4,0.22459,0.0173,0.01754,0.23101,0.02773,0.03976,305,500,324,3,3,0.29491,0.49737,0.20245,0.39046
s4,parity,7,c2,0.22153,0.01811,0.01452,0.23146,0.0292,0.04235,303,500,323,0,2,-0.18021,-0.11296,0.06725,0.30908
s4,parity,7,c4,0.22153,0.01811,0.01452,0.23146,0.0292,0.04235,303,500,323,3,3,0.33205,0.50639,0.17434,0.38844
s4,parity,8,c2,0.21722,0.0158,0.01552,0.22308,0.03044,0.05058,304,500,324,0,2,-0.15533,-0.10609,0.04924,0.30636
s4,parity,8,c4,0.21722,0.0158,0.01552,0.22308,0.03044,0.05058,304,500,324,3,3,0.33428,0.51027,0.17599,0.38123
s4,parity,9,c2,0.22227,0.01465,0.00888,0.23385,0.03005,0.04139,298,500,323,0,2,-0.2159,-0.13413,0.08176,0.30957
s4,parity,9,c4,0.22227,0.01465,0.00888,0.23385,0.03005,0.04139,298,500,323,3,3,0.31347,0.49996,0.18649,0.38722
s4,const,0,c2,0.01067,0.00873,0.25332,0.03854,0.02218,0.28728,6,500,324,2,2,1.89376,0.94713,-0.94663,0.18392
s4,const,0,c4,0.01067,0.00873,0.25332,0.03854,0.02218,0.28728,6,500,324,3,3,1.19655,0.97829,-0.21826,0.29826
s4,const,1,c2,0.0111,0.0088,0.27351,0.03012,0.02038,0.40728,7,500,324,2,2,1.8809,0.93804,-0.94286,0.17961
s4,const,1,c4,0.0111,0.0088,0.27351,0.03012,0.02038,0.40728,7,500,324,3,3,1.19349,0.97199,-0.2215,0.29617
s4,const,2,c2,0.01203,0.01154,0.49953,0.03847,0.01349,0.1397,5,500,324,2,2,1.87869,0.94728,-0.9314,0.18426
s4,const,2,c4,0.01203,0.01154,0.49953,0.03847,0.01349,0.1397,5,500,324,3,3,1.18745,0.97309,-0.21436,0.2996
s4,const,3,c2,0.00967,0.00883,0.36571,0.04138,0.02462,0.39927,4,500,324,2,2,1.89461,0.94851,-0.94609,0.18542
s4,const,3,c4,0.00967,0.00883,0.36571,0.04138,0.02462,0.39927,4,500,324,3,3,1.19369,0.97595,-0.21774,0.30476
s4,const,6,c2,0.00968,0.0068,0.63703,0.02972,0.01219,0.22832,3,500,324,2,2,1.88352,0.94017,-0.94335,0.18128
s4,const,6,c4,0.00968,0.0068,0.63703,0.02972,0.01219,0.22832,3,500,324,3,3,1.18731,0.97819,-0.20913,0.29707
s4,const,7,c2,0.01149,0.01089,0.41228,0.02815,0.0185,0.41123,6,500,323,2,2,1.83818,0.93,-0.90818,0.17543
s4,const,7,c4,0.01149,0.01089,0.41228,0.02815,0.0185,0.41123,6,500,323,3,3,1.1969,0.9664,-0.2305,0.29211
s4,const,8,c2,0.01136,0.00845,0.50495,0.01929,0.01964,0.64614,4,500,324,2,2,1.89765,0.9473,-0.95036,0.18221
s4,const,8,c4,0.01136,0.00845,0.50495,0.01929,0.01964,0.64614,4,500,324,3,3,1.20767,0.97226,-0.23541,0.29586
s4,const,9,c2,0.01181,0.00794,0.39627,0.04371,0.0165,0.1733,6,500,323,2,2,1.87553,0.93585,-0.93968,0.18328
s4,const,9,c4,0.01181,0.00794,0.39627,0.04371,0.0165,0.1733,6,500,323,3,3,1.18934,0.97421,-0.21513,0.29924
