condition,encoding,seed,group,m1,m2,bi_frac,raw_m1,raw_m2,raw_bi_frac,n_tuned,n_units,n_cells_vis,best_shift,pred_shift,rot_gain,corr_pred,corr_none,local_m1
s1,axis,8,c4,0.04975,0.41531,0.92172,0.0529,0.41528,0.90204,422,500,324,2,3,-0.57044,-0.20855,0.36188,0.32889
s1,axis,9,c2,0.04704,0.40262,0.93268,0.07056,0.40765,0.88232,399,500,323,2,2,0.64917,0.87146,0.22229,0.20349
s1,axis,9,c4,0.04704,0.40262,0.93268,0.07056,0.40765,0.88232,399,500,323,2,3,-0.49065,-0.14845,0.3422,0.32722
s1,parity,0,c2,0.27391,0.02659,0.02105,0.28163,0.04405,0.05737,372,500,324,0,2,-0.5712,-0.3093,0.2619,0.35303
s1,parity,0,c4,0.27391,0.02659,0.02105,0.28163,0.04405,0.05737,372,500,324,3,3,0.03141,0.29701,0.2656,0.43355
s1,parity,1,c2,0.26996,0.02664,0.03252,0.27503,0.04347,0.06758,383,500,324,0,2,-0.60656,-0.32413,0.28243,0.34283
s1,parity,1,c4,0.26996,0.02664,0.03252,0.27503,0.04347,0.06758,383,500,324,3,3,0.02992,0.30436,0.27444,0.42074
s1,parity,2,c2,0.27709,0.02733,0.03436,0.2833,0.0346,0.04965,388,500,324,0,2,-0.61272,-0.32436,0.28836,0.35533
s1,parity,2,c4,0.27709,0.02733,0.03436,0.2833,0.0346,0.04965,388,500,324,0,3,-0.02263,0.2798,0.30243,0.43885
s1,parity,3,c2,0.27118,0.02766,0.02743,0.27951,0.0449,0.06378,362,500,324,0,2,-0.53524,-0.28609,0.24916,0.34868
s1,parity,3,c4,0.27118,0.02766,0.02743,0.27951,0.0449,0.06378,362,500,324,3,3,0.02875,0.29649,0.26774,0.42955
s1,parity,4,c2,0.27157,0.02815,0.03302,0.276,0.03977,0.04492,365,500,324,0,2,-0.57383,-0.30634,0.2675,0.34471
s1,parity,4,c4,0.27157,0.02815,0.03302,0.276,0.03977,0.04492,365,500,324,3,3,0.00687,0.28008,0.27321,0.42597
s1,parity,5,c2,0.27832,0.02885,0.02844,0.28275,0.03816,0.04653,382,500,324,0,2,-0.57851,-0.31574,0.26278,0.35578
s1,parity,5,c4,0.27832,0.02885,0.02844,0.28275,0.03816,0.04653,382,500,324,3,3,0.0205,0.28864,0.26814,0.43923
s1,parity,6,c2,0.281,0.03272,0.03323,0.28538,0.04269,0.05157,384,500,324,0,2,-0.52975,-0.28329,0.24646,0.35342
s1,parity,6,c4,0.281,0.03272,0.03323,0.28538,0.04269,0.05157,384,500,324,3,3,0.05043,0.31612,0.26569,0.43948
s1,parity,7,c2,0.26853,0.03189,0.03109,0.27151,0.04348,0.05833,373,500,323,0,2,-0.56864,-0.2984,0.27024,0.34154
s1,parity,7,c4,0.26853,0.03189,0.03109,0.27151,0.04348,0.05833,373,500,323,3,3,0.03492,0.29305,0.25812,0.42699
s1,parity,8,c2,0.27045,0.02604,0.02377,0.27489,0.03727,0.05056,381,500,324,0,2,-0.55083,-0.3012,0.24963,0.34842
s1,parity,8,c4,0.27045,0.02604,0.02377,0.27489,0.03727,0.05056,381,500,324,3,3,0.02366,0.29494,0.27128,0.43526
s1,parity,9,c2,0.27622,0.0274,0.02456,0.28592,0.03932,0.04712,371,500,323,0,2,-0.59371,-0.31962,0.27409,0.3532
s1,parity,9,c4,0.27622,0.0274,0.02456,0.28592,0.03932,0.04712,371,500,323,3,3,0.03348,0.29614,0.26265,0.43786
s1,const,0,c2,0.0506,0.02101,0.2293,0.06517,0.03247,0.25547,91,500,324,2,2,1.22612,0.61865,-0.60747,0.18895
s1,const,0,c4,0.0506,0.02101,0.2293,0.06517,0.03247,0.25547,91,500,324,3,3,0.70396,0.5299,-0.17406,0.31695
s1,const,1,c2,0.05002,0.02037,0.19771,0.06186,0.02997,0.21963,98,500,324,2,2,1.34012,0.66541,-0.67471,0.20169
s1,const,1,c4,0.05002,0.02037,0.19771,0.06186,0.02997,0.21963,98,500,324,3,3,0.72687,0.56782,-0.15904,0.33288
s1,const,2,c2,0.0531,0.02112,0.18806,0.07012,0.02401,0.17478,114,500,324,2,2,1.22851,0.61432,-0.6142,0.20051
