hd_mode,seed,linear,knn,mlp
axis,0,0.55427299189302,0.5357379731638002,0.5313346243122785
axis,1,0.5514402401428045,0.5386425512036273,0.5372014018606285
axis,2,0.5508872869776936,0.5436797160064443,0.538947013231514
axis,3,0.5552126262818877,0.5354161751367948,0.5355017552889433
axis,4,0.5553139480075481,0.5343893879557765,0.534139504468887
axis,5,0.5508728385842535,0.5358930879678072,0.5341249896105473
const,0,0.5479909228711509,0.5318940019863123,0.529881024045245
const,1,0.5486663207073809,0.5306904340050436,0.5262349306260342
const,2,0.5524593787809706,0.5344968961744386,0.5320140923441071
const,3,0.5474255716991462,0.5319759640618996,0.5329180001246293
const,4,0.5533991411496505,0.5307067224712418,0.5274856874404323
const,5,0.5576242633800729,0.5297503436552369,0.5373000304253219
full,0,0.9702812781844387,0.950152205772649,0.9775910419132601
full,1,0.9690959711178829,0.9500473716105923,0.9800346219613096
full,2,0.9699683745198193,0.9480319593435421,0.9756939605505209
full,3,0.9716459503367615,0.9525420074507693,0.9805156856071952
full,4,0.9732258992819771,0.9499216569149423,0.9817070467909961
full,5,0.9732796188182368,0.9517266301036456,0.9805721674505644
parity,0,0.9083120312339317,0.9287971524893457,0.9642260511391679
parity,1,0.9205088553352161,0.9300407858679736,0.9590692622519684
parity,2,0.906529599469328,0.931835156997289,0.9667170465631365
parity,3,0.9041944116655684,0.9343423526369513,0.9601578543686762
parity,4,0.9185495719095179,0.9383544499829262,0.9688453195580035
parity,5,0.8872135512519966,0.9327628111314782,0.9637310347900895
