condition,hd_mode,k,seed,off_step,dom_step,wake_step,shuf_step,off_cont,dom_cont,wake_cont,shuf_cont,off_cov,dom_cov,wake_cov,shuf_cov
s2,axis,3,0,1.3064071446657182,0.858856999874115,1.0,11.180339887498949,0.7334170854271355,0.8881909547738693,0.9949748743718593,0.04522613065326633,0.12762345679012346,0.09737654320987653,0.2777777777777778,0.4074074074074074
s2,axis,3,1,1.2602919220924378,0.8381005987524986,1.0,10.770329614269007,0.7391959798994974,0.8866834170854272,0.9949748743718593,0.03015075376884422,0.12577160493827158,0.11898148148148151,0.2777777777777778,0.41975308641975306
s2,axis,3,2,1.219406309723854,0.8470279037952423,1.0,9.433981132056603,0.778391959798995,0.9095477386934674,0.9949748743718593,0.07537688442211055,0.1154320987654321,0.10509259259259258,0.2777777777777778,0.4444444444444444
s2,axis,3,3,1.388859423995018,1.045396587252617,1.0,9.219544457292887,0.7037688442211056,0.8329145728643216,0.9949748743718593,0.03015075376884422,0.1529320987654321,0.14953703703703705,0.2777777777777778,0.46296296296296297
s2,axis,3,4,1.4675055682659148,1.075830653309822,1.0,8.94427190999916,0.68643216080402,0.8293969849246231,0.9949748743718593,0.04020100502512563,0.14938271604938272,0.16049382716049382,0.2777777777777778,0.4567901234567901
s2,axis,3,5,1.3861249566078186,0.947117704153061,1.0,10.198039027185569,0.6874371859296483,0.8660804020100501,0.9949748743718593,0.020100502512562814,0.14027777777777778,0.13441358024691355,0.2777777777777778,0.41358024691358025
s2,const,3,0,1.0751448661088943,0.6025866463780403,1.0,11.180339887498949,0.8422110552763818,0.95678391959799,0.9949748743718593,0.04522613065326633,0.10231481481481482,0.10123456790123456,0.2777777777777778,0.4074074074074074
s2,const,3,1,0.8700144767761231,0.580485537648201,1.0,10.770329614269007,0.9286432160804019,0.9753768844221107,0.9949748743718593,0.03015075376884422,0.07330246913580248,0.08703703703703702,0.2777777777777778,0.41975308641975306
s2,const,3,2,0.8808300584554672,0.5224890634417534,1.0,9.433981132056603,0.9100502512562814,0.9886934673366834,0.9949748743718593,0.07537688442211055,0.06419753086419752,0.05277777777777777,0.2777777777777778,0.4444444444444444
s2,const,3,3,0.9626775950193405,0.7239334091544152,1.0,9.219544457292887,0.8595477386934673,0.9356783919597991,0.9949748743718593,0.03015075376884422,0.10324074074074072,0.11944444444444444,0.2777777777777778,0.46296296296296297
s2,const,3,4,0.8726597547531127,0.5435605876147747,1.0,8.94427190999916,0.9123115577889447,0.9756281407035177,0.9949748743718593,0.04020100502512563,0.07777777777777777,0.09151234567901233,0.2777777777777778,0.4567901234567901
s2,const,3,5,0.8800139963626862,0.640711835026741,1.0,10.198039027185569,0.9268844221105528,0.9605527638190955,0.9949748743718593,0.020100502512562814,0.07669753086419753,0.11018518518518519,0.2777777777777778,0.41358024691358025
s2,full,3,0,0.9533873438835144,0.9910033077001572,1.0,11.180339887498949,0.8515075376884422,0.8376884422110553,0.9949748743718593,0.04522613065326633,0.316820987654321,0.2645061728395062,0.2777777777777778,0.4074074074074074
s2,full,3,1,0.9339790761470794,1.0011011689901352,1.0,10.770329614269007,0.8462311557788944,0.8417085427135678,0.9949748743718593,0.03015075376884422,0.29567901234567906,0.24845679012345676,0.2777777777777778,0.41975308641975306
s2,full,3,2,1.0161038279533385,1.000728052854538,1.0,9.433981132056603,0.8396984924623115,0.8464824120603014,0.9949748743718593,0.07537688442211055,0.30632716049382713,0.24104938271604937,0.2777777777777778,0.4444444444444444
s2,full,3,3,0.9481120139360428,0.95397267639637,1.0,9.219544457292887,0.8484924623115578,0.8620603015075377,0.9949748743718593,0.03015075376884422,0.3018518518518518,0.24212962962962967,0.2777777777777778,0.46296296296296297
s2,full,3,4,0.9385958135128021,1.0372344642877578,1.0,8.94427190999916,0.8605527638190956,0.8115577889447236,0.9949748743718593,0.04020100502512563,0.30509259259259264,0.26697530864197533,0.2777777777777778,0.4567901234567901
s2,full,3,5,1.1262665003538133,1.1189621418714524,1.0,10.198039027185569,0.7932160804020101,0.7969849246231157,0.9949748743718593,0.020100502512562814,0.3294753086419753,0.2686728395061728,0.2777777777777778,0.41358024691358025
s2,parity,3,0,1.0497287839651108,0.7072726488113403,1.0,11.180339887498949,0.7919597989949747,0.9266331658291458,0.9949748743718593,0.04522613065326633,0.20910493827160495,0.12453703703703703,0.2777777777777778,0.4074074074074074
s2,parity,3,1,0.9573216050863266,0.6944165319204331,1.0,10.770329614269007,0.8100502512562814,0.9517587939698494,0.9949748743718593,0.03015075376884422,0.2257716049382716,0.14212962962962966,0.2777777777777778,0.41975308641975306
s2,parity,3,2,0.9096149742603302,0.7559107422828675,1.0,9.433981132056603,0.8595477386934673,0.920100502512563,0.9949748743718593,0.07537688442211055,0.20185185185185187,0.1330246913580247,0.2777777777777778,0.4444444444444444
s2,parity,3,3,1.0686687171459197,0.8383695840835571,1.0,9.219544457292887,0.8188442211055277,0.9010050251256281,0.9949748743718593,0.03015075376884422,0.23996913580246915,0.14891975308641975,0.2777777777777778,0.46296296296296297
s2,parity,3,4,1.0507117927074432,0.7818613022565841,1.0,8.94427190999916,0.8015075376884422,0.9253768844221104,0.9949748743718593,0.04020100502512563,0.23503086419753086,0.15324074074074073,0.2777777777777778,0.4567901234567901
s2,parity,3,5,0.9495534867048263,0.6927477151155472,1.0,10.198039027185569,0.8160804020100503,0.95,0.9949748743718593,0.020100502512562814,0.21990740740740738,0.12330246913580248,0.2777777777777778,0.41358024691358025
