mode,seed,dwell_bin,room_gen,room_seen,within_r2,repetition,n
translation,0,0-2,0.5986833749629566,0.6448426812585499,0.6856513396789985,0.8565747742097856,474
translation,0,2-5,0.6472142217101895,0.634920634920635,0.9374767495730989,0.9156266244875086,702
translation,0,5-10,0.5431771867704189,0.5799526403031021,0.9244537351411612,0.9442225811816161,1155
translation,0,10-inf,0.5000299962824286,0.5094467359780013,0.9678148466270496,0.9969939245858119,28202
translation,1,0-2,0.4412226853606164,0.6121164613661814,0.6613026580662582,0.7730727486302154,475
translation,1,2-5,0.6033537561237383,0.5590449379626734,0.9503228401706008,0.908782708571617,697
translation,1,5-10,0.5175462862336738,0.5719104754979194,0.9726632112566543,0.947990540304212,1130
translation,1,10-inf,0.5061107035599346,0.512736076048148,0.983088012076658,0.9972079970115204,28963
translation,2,0-2,0.5205244942905262,0.6396321070234114,0.48182110861801764,0.7876525827524039,462
translation,2,2-5,0.576559411262538,0.6068767274737423,0.9498431633665085,0.9431418603327413,676
translation,2,5-10,0.5259162717219589,0.5639879414298019,0.9729430910246055,0.94889321914525,1096
translation,2,10-inf,0.49825650569785607,0.5153375678716855,0.9539502141511041,0.9971300542258678,28423
translation,3,0-2,0.6302868112014453,0.6391304347826087,0.6772059816043822,0.8756746580170037,469
translation,3,2-5,0.6588215188751899,0.6331043366251612,0.9291920740999812,0.8782351968435003,694
translation,3,5-10,0.5279793626032897,0.563963963963964,0.9483404443975083,0.9397055423925968,1125
translation,3,10-inf,0.5000994364120253,0.5159389145125581,0.982643038345608,0.9957047128107572,28631
translation,4,0-2,0.5533733643660359,0.6657455540355677,0.6453467051758606,nan,457
translation,4,2-5,0.6332173449612404,0.6393075865516811,0.9644525160466081,0.9091064420659325,673
translation,4,5-10,0.533121645930492,0.5907562244518767,0.9785846751891217,0.9470912668980589,1104
translation,4,10-inf,0.5097180457816013,0.5124589271389741,0.969209658007126,0.9976261136622322,28943
translation,5,0-2,0.559298121738592,0.6181571815718158,0.6902298233950541,0.8853145168521216,425
translation,5,2-5,0.5356507574422013,0.5686974789915966,0.9372301302011339,0.92956886450543,625
translation,5,5-10,0.5593425430231747,0.5854166666666666,0.9767276318389717,0.9375933500029683,1006
translation,5,10-inf,0.5074179177540715,0.5113652985981723,0.988771664503034,0.996363086871177,26868
translation,6,0-2,0.5645550947384537,0.5833758937691522,0.4703109427828207,nan,464
translation,6,2-5,0.6326712416788753,0.6024037366142629,0.946910072741372,0.9216109559010228,686
translation,6,5-10,0.521277491325995,0.5365231889781054,0.9619816489936113,0.9535856177601629,1100
translation,6,10-inf,0.512734164946534,0.5073449182395414,0.9858298588980172,0.9974872968842641,28818
translation,7,0-2,0.6222277722277723,0.6487804878048781,0.6616356812827846,nan,432
translation,7,2-5,0.5680682650598536,0.5983333333333334,0.9274497905652244,0.936643673448323,635
translation,7,5-10,0.5447146975412388,0.624483412808286,0.9838777632776907,0.9150370657017266,1036
