variant,seed,final_loss,threshold,steps_to_threshold,loss_auc
kaiming,0,0.00309872878715396,0.00309872878715396,79813.82613268854,637.9214636508375
kaiming,1,0.00299516663265725,0.00309872878715396,79785.74368172945,628.611856273748
kaiming,2,0.0027757248220344386,0.00309872878715396,79708.68293345215,638.9980079162866
kaiming,3,0.002664274908602238,0.00309872878715396,79675.74933049388,646.8391586543992
kaiming,4,0.002862644195556641,0.00309872878715396,79735.56825782963,635.6289061842486
kaiming,5,0.0028768407491346205,0.00309872878715396,71558.18352460544,621.9353789204731
kaiming,6,0.0025363469496369364,0.00309872878715396,79613.50665818113,632.7863054737448
kaiming,7,0.00281011201441288,0.00309872878715396,79709.70430324404,629.63912672624
kaiming_noid,0,0.002627708576619625,0.00309872878715396,79673.91474955883,629.5994161147624
kaiming_noid,1,0.002769703914721807,0.00309872878715396,79714.30929844826,634.3616705691442
kaiming_noid,2,0.0025724610158552727,0.00309872878715396,76505.28342744445,627.9799686029553
kaiming_noid,3,0.0029530018257598084,0.00309872878715396,79785.70978319738,643.5140697047115
kaiming_noid,4,0.0028235870723923046,0.00309872878715396,79720.24928367314,638.243296492286
kaiming_noid,5,0.0026154798921197656,0.00309872878715396,79665.77381652265,624.0206269424409
kaiming_noid,6,0.0026029511044422787,0.00309872878715396,79652.86793994198,640.125200202316
kaiming_noid,7,0.0029162656360616295,0.00309872878715396,79749.43565752803,627.6543035378679
