condition,hd_mode,k,seed,group,chance,phase_acc,raw_r2,domain_r2,spatial,path
s2,axis,3,0,c2,0.5,0.5509130906843465,-0.06724175214767455,0.9062755584716797,0.9062755584716797,/root/runs/horizon/k3/s2/axis/seed_00/ckpt_final.pt
s2,axis,3,1,c2,0.5,0.5554356495344546,-0.10099935531616211,0.8900446176528931,0.8900446176528931,/root/runs/horizon/k3/s2/axis/seed_01/ckpt_final.pt
s2,axis,3,2,c2,0.5,0.549445554900342,-0.06651318073272705,0.9019904732704163,0.9019904732704163,/root/runs/horizon/k3/s2/axis/seed_02/ckpt_final.pt
s2,axis,3,3,c2,0.5,0.553644543302889,-0.08874462842941284,0.891418993473053,0.891418993473053,/root/runs/horizon/k3/s2/axis/seed_03/ckpt_final.pt
s2,axis,3,4,c2,0.5,0.5368113897014251,-0.05255764722824097,0.8908275723457336,0.8908275723457336,/root/runs/horizon/k3/s2/axis/seed_04/ckpt_final.pt
s2,axis,3,5,c2,0.5,0.5436209802193994,-0.056648075580596924,0.9023038029670716,0.9023038029670716,/root/runs/horizon/k3/s2/axis/seed_05/ckpt_final.pt
s2,const,3,0,c2,0.5,0.544098818533864,-0.06159740686416626,0.8282553911209106,0.8282553911209106,/root/runs/horizon/k3/s2/const/seed_00/ckpt_final.pt
s2,const,3,1,c2,0.5,0.5439187761002504,-0.04774923324584961,0.8425907373428345,0.8425907373428345,/root/runs/horizon/k3/s2/const/seed_01/ckpt_final.pt
s2,const,3,2,c2,0.5,0.5419477670346659,-0.04653475284576416,0.837145471572876,0.837145471572876,/root/runs/horizon/k3/s2/const/seed_02/ckpt_final.pt
s2,const,3,3,c2,0.5,0.5463503322950402,-0.059128975868225096,0.8401947379112243,0.8401947379112243,/root/runs/horizon/k3/s2/const/seed_03/ckpt_final.pt
s2,const,3,4,c2,0.5,0.5426365110339114,-0.06101914644241333,0.8488399863243103,0.8488399863243103,/root/runs/horizon/k3/s2/const/seed_04/ckpt_final.pt
s2,const,3,5,c2,0.5,0.5480016321808181,-0.06112486124038696,0.8497746825218201,0.8497746825218201,/root/runs/horizon/k3/s2/const/seed_05/ckpt_final.pt
s2,full,3,0,c2,0.5,0.9660113511138105,0.9840997457504272,0.9061044096946717,0.9840997457504272,/root/runs/horizon/k3/s2/full/seed_00/ckpt_final.pt
s2,full,3,1,c2,0.5,0.9615436937588164,0.9853555798530579,0.9019486546516419,0.9853555798530579,/root/runs/horizon/k3/s2/full/seed_01/ckpt_final.pt
s2,full,3,2,c2,0.5,0.9725229849168455,0.9837087631225586,0.9018762469291687,0.9837087631225586,/root/runs/horizon/k3/s2/full/seed_02/ckpt_final.pt
s2,full,3,3,c2,0.5,0.9720993425343902,0.9844969868659973,0.9010539412498474,0.9844969868659973,/root/runs/horizon/k3/s2/full/seed_03/ckpt_final.pt
s2,full,3,4,c2,0.5,0.9701000838049497,0.9854236960411071,0.894824993610382,0.9854236960411071,/root/runs/horizon/k3/s2/full/seed_04/ckpt_final.pt
s2,full,3,5,c2,0.5,0.9681631348736197,0.9829652190208436,0.8978139996528626,0.9829652190208436,/root/runs/horizon/k3/s2/full/seed_05/ckpt_final.pt
s2,parity,3,0,c2,0.5,0.9510006075772282,0.9470314145088196,0.8451196193695069,0.9470314145088196,/root/runs/horizon/k3/s2/parity/seed_00/ckpt_final.pt
s2,parity,3,1,c2,0.5,0.9428877183333991,0.9535151481628418,0.8622439622879028,0.9535151481628418,/root/runs/horizon/k3/s2/parity/seed_01/ckpt_final.pt
s2,parity,3,2,c2,0.5,0.9463806783808408,0.9477329730987549,0.8436920762062072,0.9477329730987549,/root/runs/horizon/k3/s2/parity/seed_02/ckpt_final.pt
s2,parity,3,3,c2,0.5,0.9507408641427559,0.949758517742157,0.8439520597457886,0.949758517742157,/root/runs/horizon/k3/s2/parity/seed_03/ckpt_final.pt
s2,parity,3,4,c2,0.5,0.9382886041745367,0.9471294403076171,0.8530439376831055,0.9471294403076171,/root/runs/horizon/k3/s2/parity/seed_04/ckpt_final.pt
s2,parity,3,5,c2,0.5,0.9499789840997055,0.9564271926879883,0.8633487462997437,0.9564271926879883,/root/runs/horizon/k3/s2/parity/seed_05/ckpt_final.pt
