d_prime,tint,seed,room_gen,room_seen,within_r2,repetition,rate_asymmetry,n_cells_matched,n_states_in_rooms,acc_max_T1,acc_max_T10
0.0,0.0,0,0.5069069338468883,0.5144416123798431,0.9775137527038685,0.9966569307340887,0.018784813582897186,36,31682,0.5,0.5
0.0,0.0,1,0.5084039573833659,0.5065945459611542,0.973388309122093,0.9965091530208401,0.030483342707157135,36,30243,0.5,0.5
0.0,0.0,2,0.4922378017824989,0.5218235452269328,0.9430678629613102,0.9957305689147136,0.016766231507062912,36,30561,0.5,0.5
0.0,0.0,3,0.520062140763543,0.5101092896174864,0.9592221658579444,0.997534843377659,0.020946189761161804,36,28993,0.5,0.5
0.0,0.0,4,0.509949869579926,0.5074572726125728,0.9666568104053871,0.9966368829985514,0.018210100010037422,36,30098,0.5,0.5
0.0,0.0,5,0.5090626291642476,0.5185079791948765,0.9580283813432191,0.996595235069547,0.05023898184299469,36,29655,0.5,0.5
0.0,0.0,6,0.5194545573356466,0.5249476250951365,0.7922738682809595,0.9976648005923365,0.03644216060638428,36,30238,0.5,0.5
0.0,0.0,7,0.5125084232441659,0.5204797916026472,0.9516772571409119,0.9967116062426813,0.009736292064189911,36,30547,0.5,0.5
0.4286,0.001768,0,0.5213406288759936,0.5520628901595896,0.9741411703589262,0.9975046635151283,0.01927325129508972,36,31682,0.5848434409812522,0.7510114591414906
0.4286,0.001768,1,0.5197400877744818,0.5486360550313866,0.9741845358566599,0.9972654587420393,0.0370151624083519,36,30243,0.5848434409812522,0.7510114591414906
0.4286,0.001768,2,0.501813186440589,0.5593453927285152,0.9570437696629115,0.99613665608795,0.02051033452153206,36,30561,0.5848434409812522,0.7510114591414906
0.4286,0.001768,3,0.5201393280737729,0.548048399687744,0.9610813798343752,0.9973794819605311,0.020349983125925064,36,28993,0.5848434409812522,0.7510114591414906
