condition,hd_mode,seed,d_partner_mean,d_random_mean,ratio,n_pairs
s2,axis,0,1.3280707597732544,7.701492786407471,0.17244328558444977,324
s2,axis,1,1.4107722043991089,7.879486560821533,0.17904366552829742,324
s2,axis,2,1.3922388553619385,7.766115665435791,0.179270938038826,324
s2,axis,3,1.301862120628357,7.80169153213501,0.16686920821666718,324
s2,axis,4,1.3315211534500122,7.8368306159973145,0.16990557312965393,324
s2,full,0,9.167808532714844,10.44930648803711,0.877360463142395,324
s2,full,1,9.170357704162598,10.77426815032959,0.8511350750923157,324
s2,full,2,9.119527816772461,10.49034309387207,0.8693259954452515,324
s2,full,3,9.278770446777344,10.432317733764648,0.8894255757331848,324
s2,full,4,9.425610542297363,10.659619331359863,0.8842352032661438,324
