variant,seed,final_loss,threshold,steps_to_threshold,loss_auc
baseline,0,0.001971814191589753,0.0026036447379738092,65436.85629500816,475.79380005560813
baseline,1,0.0019017089313517015,0.0026036447379738092,62179.30513979559,478.8762984897941
baseline,2,0.0018963595386594534,0.0026036447379738092,71299.25983446524,479.0564273953438
baseline,3,0.0020948620668301983,0.0026036447379738092,69348.37575648751,471.3233130147681
baseline,4,0.0021558430201063556,0.0026036447379738092,70342.7711312829,483.8345492219552
baseline,5,0.002045291879524787,0.0026036447379738092,68193.30222232576,471.0841324791312
baseline,6,0.0020655239777018627,0.0026036447379738092,70455.87862476024,478.39274675641207
baseline,7,0.001826015068218112,0.0026036447379738092,69369.77540893218,471.58230811413375
gain_hi,0,0.0024073053772250812,0.0026036447379738092,79741.38044527441,585.6362583924085
gain_hi,1,0.002506814571097493,0.0026036447379738092,79777.39716412744,588.5205904562026
gain_hi,2,0.0025223961565643553,0.0026036447379738092,79777.80702434233,585.3736402012407
gain_hi,3,0.0025420210945109527,0.0026036447379738092,79794.2206664441,587.8500550992787
gain_hi,4,0.0025027255527675153,0.0026036447379738092,79765.99506472927,578.3870124679058
gain_hi,5,0.0026036447379738092,0.0026036447379738092,79795.13197218177,591.799806490913
gain_hi,6,0.002491356572136283,0.0026036447379738092,79764.62599087677,582.2459120377898
gain_hi,7,0.0023987296347816787,0.0026036447379738092,79733.18019782446,581.4567823989316
gain_lo,0,0.001986552029848099,0.0026036447379738092,62085.58064936619,422.85959109645336
gain_lo,1,0.0017217965330928564,0.0026036447379738092,62433.05312473153,423.83270090203735
gain_lo,2,0.001976739491025607,0.0026036447379738092,59743.666036939496,421.38086512200533
gain_lo,3,0.001886016968637705,0.0026036447379738092,62526.98758498955,421.9508092897013
gain_lo,4,0.0018634192800770204,0.0026036447379738092,59151.59112741625,424.05803467836233
gain_lo,5,0.0015665235851580897,0.0026036447379738092,61088.47313652855,416.6774882216938
gain_lo,6,0.0016784409992396832,0.0026036447379738092,56320.69619279731,413.8333223700523
gain_lo,7,0.0017587412459154923,0.0026036447379738092,59068.85377250366,427.77963570915165
orth,0,0.0020887583183745546,0.0026036447379738092,71968.9185396508,477.05128310155123
orth,1,0.002082818311949571,0.0026036447379738092,69981.2488828476,477.0142334301025
orth,2,0.0020892000912378235,0.0026036447379738092,71346.38512048566,484.46271171625705
orth,3,0.0020350204470256966,0.0026036447379738092,69983.51423366704,474.65905248764903
orth,4,0.0019166192505508663,0.0026036447379738092,67333.5084804608,475.7254212256521
orth,5,0.0020419884473085403,0.0026036447379738092,69680.35470072906,477.35828535817564
orth,6,0.0020301367000987135,0.0026036447379738092,60977.02254308342,473.80928853619844
orth,7,0.001959052107607325,0.0026036447379738092,68950.16776434344,474.6369577534497
tau1,0,0.001988131009663145,0.0026036447379738092,65464.12922482151,453.9182777421549
tau1,1,0.001978508740042647,0.0026036447379738092,62068.37239855224,453.9450067801401
tau1,2,0.0018090890021994711,0.0026036447379738092,67296.65879486881,456.96973005142064
tau1,3,0.00201813206076622,0.0026036447379738092,59562.614096655845,455.02304710932077
tau1,4,0.0020888334140181544,0.0026036447379738092,68958.85812300906,456.8549283700064
tau1,5,0.0017793034669011832,0.0026036447379738092,65796.73670144111,461.26206293851135
tau1,6,0.001967564644291997,0.0026036447379738092,59169.03809119529,455.1294315723702
tau1,7,0.0019789999506125847,0.0026036447379738092,61297.028466691656,457.0455051764846
tau4,0,0.0021228146894524493,0.0026036447379738092,68069.6037279764,513.4512291675434
tau4,1,0.002293329391007622,0.0026036447379738092,79699.8535032224,517.6703576035798
tau4,2,0.002285194288318356,0.0026036447379738092,79698.99832905174,518.1423604398966
tau4,3,0.0021305942907929422,0.0026036447379738092,76472.7314753652,511.3275186000392
tau4,4,0.0022619999789943303,0.0026036447379738092,79678.37582550602,513.535831069015
tau4,5,0.0021165627365310985,0.0026036447379738092,78683.63386087968,518.1611413747072
tau4,6,0.002322626595074932,0.0026036447379738092,77798.00258673931,504.9388415934518
tau4,7,0.0021075047242144745,0.0026036447379738092,78573.49860023975,513.774882703647
tau8,0,0.00237929515230159,0.0026036447379738092,79741.57901655024,534.6147330205888
tau8,1,0.0022802722174674276,0.0026036447379738092,79679.99959881497,529.7385998405516
tau8,2,0.0023344017254809542,0.0026036447379738092,79706.5188417861,540.7588292555884
tau8,3,0.0023917732915530606,0.0026036447379738092,79725.29621788856,532.9822542618961
tau8,4,0.0022835103950152795,0.0026036447379738092,79683.08976942742,534.4122199097649
tau8,5,0.002178768192728361,0.0026036447379738092,79634.28401061236,532.2422585280613
tau8,6,0.0021568135358393196,0.0026036447379738092,79630.5090629711,536.5820409350097
tau8,7,0.002031954765940706,0.0026036447379738092,79405.6300401958,529.9613443881274
zero_rec,0,0.0015043386646235984,0.0026036447379738092,53724.19548145101,380.39348299000414
zero_rec,1,0.001760009148468574,0.0026036447379738092,46364.976335085106,384.18751238547264
zero_rec,2,0.0018016391666606068,0.0026036447379738092,46790.789681504255,384.0219929764047
zero_rec,3,0.0019008631119504574,0.0026036447379738092,53517.32891095055,387.8935633543879
zero_rec,4,0.0016793742155035336,0.0026036447379738092,51445.4302696418,384.9942488729954
zero_rec,5,0.0016588599731524785,0.0026036447379738092,54761.78424149544,392.6829301247373
zero_rec,6,0.001628654729574919,0.0026036447379738092,51180.518856062656,384.70070071350784
zero_rec,7,0.0017531347305824359,0.0026036447379738092,51108.17479889992,385.8639198055491
