condition,hd_mode,seed,srsa_e,srsa_c,spatial_info,n_informative,field_sharpness,n_place_units,cross_seed_rho
s1,full,0,0.6829854699653944,0.7122914507339151,1.7158076703131915,487,6.874956588124216,484,0.9679807089402429
s1,full,1,0.678167980599254,0.7057205957039538,1.5545256712582098,492,6.84015543723915,490,0.9679807089402429
s1,full,2,0.6782283218530394,0.7041286288692673,1.6322338605484668,490,7.616814366682375,485,0.9679807089402429
s1,full,3,0.6716949112279055,0.6949432044545756,1.6042983448530426,494,6.912779495398243,492,0.9679807089402429
s1,full,4,0.7051657011532937,0.7273225357102256,1.6368861658431593,489,6.371409653769667,490,0.9679807089402429
s2,full,0,0.5657713799848743,0.57322380888913,1.546392340238866,482,10.489848266015716,477,0.9794904740287658
s2,full,1,0.583529578332042,0.5900359154658025,1.5880903624079987,488,12.465981942085289,480,0.9794904740287658
s2,full,2,0.5935949305156719,0.5979844730054353,1.5858395540793717,490,8.99992458248251,485,0.9794904740287658
s2,full,3,0.5810468166082252,0.586743044235601,1.6210518098049507,487,12.589000419258863,484,0.9794904740287658
s2,full,4,0.5662068773641519,0.5764162836114843,1.6812219077645625,489,9.006551207301344,478,0.9794904740287658
s4,full,0,0.5294653012263003,0.6042951885197111,1.529827883324955,491,22.912606003779253,428,0.9820013062806048
s4,full,1,0.530922052372665,0.6062654608214836,1.6183938349527334,489,14.521621753690747,427,0.9820013062806048
s4,full,2,0.5397101491021332,0.6114094902788265,1.491351858390915,482,25.60260721425873,427,0.9820013062806048
s4,full,3,0.5177642568988784,0.5982373150088691,1.5072038006816313,491,17.42125586260174,425,0.9820013062806048
s4,full,4,0.5304141742430195,0.6061861981794312,1.531403740849215,485,17.448550457504638,431,0.9820013062806048
s4,full,5,0.5079359301792198,0.5837706018950839,1.5305941375752443,486,20.35410533193613,430,0.9820013062806048
s4,full,6,0.5305063010945104,0.6104822586448849,1.4322669421361858,486,23.245903775700686,428,0.9820013062806048
