condition,hd_mode,n_cells,fold_ratio_full,fold_ratio_pca3,fold_ratio_isomap3,fold_ratio_tsne2
s2,full,323,2.583523996313991,3.1994318656969982,10.098330798818612,13.168111519654508
s2,parity,323,1.9867883531175508,4.286518784332664,4.91960298791782,5.569697584099772
s2,axis,323,0.5453965801842325,0.2783164367236458,0.16943766527900106,0.25430424270127294
s1,axis,323,1.9847147909673861,1.260705509931916,2.2498046410831094,3.459636523287318
