variant,layout,seed,step,rho,fro,diag,off_std,finite
kaiming,annulus,0,0,1.9417428970336914,33.554481506347656,0.4997040331363678,0.06327696889638901,1
kaiming,annulus,0,250,1.9454625844955444,33.543365478515625,0.49935367703437805,0.06325869262218475,1
kaiming,annulus,0,500,1.94341242313385,33.53515625,0.4987868070602417,0.06325014680624008,1
kaiming,annulus,0,1000,1.9349827766418457,33.519290924072266,0.4976983070373535,0.06323403120040894,1
kaiming,annulus,0,2000,2.0321223735809326,33.48164367675781,0.49500662088394165,0.06319613754749298,1
kaiming,annulus,0,4000,2.1985504627227783,33.41949462890625,0.4865131974220276,0.06319184601306915,1
kaiming,annulus,0,8000,2.294743537902832,33.078819274902344,0.46346908807754517,0.06280077993869781,1
kaiming,annulus,0,16000,2.627460479736328,32.884037017822266,0.4356594383716583,0.06275618821382523,1
kaiming,annulus,0,32000,2.8146164417266846,33.237937927246094,0.39575695991516113,0.06393890827894211,1
kaiming,annulus,0,80000,4.237949371337891,35.393577575683594,0.3182561695575714,0.06882908195257187,1
kaiming,annulus,1,0,1.9074640274047852,33.575374603271484,0.49844056367874146,0.06334145367145538,1
kaiming,annulus,1,250,1.8992177248001099,33.566497802734375,0.4981032907962799,0.06332854181528091,1
kaiming,annulus,1,500,1.8846036195755005,33.560726165771484,0.4975203275680542,0.06332552433013916,1
kaiming,annulus,1,1000,1.8254467248916626,33.545654296875,0.49632227420806885,0.06331218779087067,1
kaiming,annulus,1,2000,1.9790209531784058,33.51067352294922,0.4934391677379608,0.06328084319829941,1
kaiming,annulus,1,4000,2.235415458679199,33.44498825073242,0.48445460200309753,0.06327208876609802,1
kaiming,annulus,1,8000,2.337479829788208,33.07806396484375,0.46143853664398193,0.06281974166631699,1
kaiming,annulus,1,16000,2.546004295349121,32.877933502197266,0.43278998136520386,0.06276550143957138,1
kaiming,annulus,1,32000,2.8657946586608887,33.2884407043457,0.3917578160762787,0.06406049430370331,1
kaiming,annulus,1,80000,4.264128684997559,35.38275909423828,0.31641697883605957,0.06883230805397034,1
kaiming,annulus,2,0,1.9205548763275146,33.53440475463867,0.5024163126945496,0.06319352984428406,1
kaiming,annulus,2,250,1.9265680313110352,33.53013610839844,0.5021306276321411,0.06318842619657516,1
kaiming,annulus,2,500,1.9371079206466675,33.529502868652344,0.5015618205070496,0.06319620460271835,1
kaiming,annulus,2,1000,1.9288097620010376,33.516868591308594,0.5004386305809021,0.0631878674030304,1
kaiming,annulus,2,2000,1.9186683893203735,33.48521423339844,0.4979018568992615,0.06316054612398148,1
kaiming,annulus,2,4000,2.2671639919281006,33.40272903442383,0.4890687167644501,0.06311599910259247,1
kaiming,annulus,2,8000,2.2715396881103516,33.06452941894531,0.4658336937427521,0.06273170560598373,1
kaiming,annulus,2,16000,2.5140058994293213,32.88654327392578,0.4375635087490082,0.06272710114717484,1
kaiming,annulus,2,32000,2.838278293609619,33.266571044921875,0.3967316150665283,0.0639672502875328,1
kaiming,annulus,2,80000,4.217596530914307,35.47339630126953,0.3200858235359192,0.06902583688497543,1
kaiming,annulus,3,0,1.9115498065948486,33.515438079833984,0.5052510499954224,0.06311134248971939,1
kaiming,annulus,3,250,1.90166437625885,33.50687026977539,0.5049363374710083,0.06309876590967178,1
kaiming,annulus,3,500,1.8935058116912842,33.50279998779297,0.504346489906311,0.06309955567121506,1
kaiming,annulus,3,1000,1.8767894506454468,33.484439849853516,0.5030113458633423,0.06308165937662125,1
kaiming,annulus,3,2000,1.8783942461013794,33.457550048828125,0.500396728515625,0.06306369602680206,1
kaiming,annulus,3,4000,2.091445207595825,33.400123596191406,0.49155956506729126,0.06307049095630646,1
kaiming,annulus,3,8000,2.370757579803467,33.061363220214844,0.46834656596183777,0.06268145143985748,1
kaiming,annulus,3,16000,2.6352007389068604,32.82474136352539,0.4394893944263458,0.06255877763032913,1
kaiming,annulus,3,32000,2.985433340072632,33.154537200927734,0.39859166741371155,0.06368770450353622,1
kaiming,annulus,3,80000,4.480264186859131,35.30939483642578,0.32298925518989563,0.06856251507997513,1
kaiming,annulus,4,0,1.8854005336761475,33.534950256347656,0.4992893636226654,0.06324416399002075,1
kaiming,annulus,4,250,1.8994946479797363,33.52981185913086,0.49897345900535583,0.06323759257793427,1
kaiming,annulus,4,500,1.9026108980178833,33.524139404296875,0.49837249517440796,0.06323499977588654,1
kaiming,annulus,4,1000,1.877630591392517,33.510643005371094,0.49714916944503784,0.06322614848613739,1
kaiming,annulus,4,2000,2.0514466762542725,33.48246383666992,0.4944048821926117,0.06320954114198685,1
kaiming,annulus,4,4000,2.249667167663574,33.42782211303711,0.4854183495044708,0.06322679668664932,1
kaiming,annulus,4,8000,2.2794859409332275,33.0921516418457,0.46253442764282227,0.06284205615520477,1
kaiming,annulus,4,16000,2.5771944522857666,32.86201477050781,0.43388575315475464,0.06273237615823746,1
kaiming,annulus,4,32000,2.9410905838012695,33.18229675292969,0.3923304080963135,0.0638577789068222,1
kaiming,annulus,4,80000,4.1682586669921875,35.30733108520508,0.31665220856666565,0.06867843866348267,1
kaiming,annulus,5,0,1.9427896738052368,33.66152572631836,0.5028792023658752,0.06345587968826294,1
kaiming,annulus,5,250,1.9163721799850464,33.659202575683594,0.502617597579956,0.06345508247613907,1
kaiming,annulus,5,500,1.9163098335266113,33.65362548828125,0.50202876329422,0.06345267593860626,1
kaiming,annulus,5,1000,1.9123790264129639,33.637298583984375,0.5008374452590942,0.06343701481819153,1
kaiming,annulus,5,2000,1.944177508354187,33.603214263916016,0.4980607330799103,0.063407301902771,1
kaiming,annulus,5,4000,2.1392171382904053,33.528202056884766,0.489078551530838,0.06338141858577728,1
kaiming,annulus,5,8000,2.314846992492676,33.19300842285156,0.46635761857032776,0.06299702823162079,1
kaiming,annulus,5,16000,2.483914375305176,33.02006912231445,0.4390462040901184,0.06298995018005371,1
kaiming,annulus,5,32000,2.9230949878692627,33.35987854003906,0.399079829454422,0.06414332985877991,1
kaiming,annulus,5,80000,4.210729122161865,35.490516662597656,0.32257407903671265,0.06905286014080048,1
kaiming,annulus,6,0,1.9001418352127075,33.56049728393555,0.4984190762042999,0.06330879777669907,1
kaiming,annulus,6,250,1.8909919261932373,33.54931640625,0.4981068968772888,0.06329037994146347,1
kaiming,annulus,6,500,1.8871811628341675,33.542633056640625,0.49750444293022156,0.06328566372394562,1
kaiming,annulus,6,1000,1.891133189201355,33.52365493774414,0.49616703391075134,0.06326613575220108,1
kaiming,annulus,6,2000,1.909608006477356,33.48804473876953,0.4933992326259613,0.06323124468326569,1
kaiming,annulus,6,4000,2.184913396835327,33.434600830078125,0.48430418968200684,0.06324780732393265,1
kaiming,annulus,6,8000,2.235793113708496,33.101402282714844,0.4614558815956116,0.0628611147403717,1
kaiming,annulus,6,16000,2.5069730281829834,32.97123718261719,0.43489497900009155,0.06292818486690521,1
kaiming,annulus,6,32000,2.9393110275268555,33.40826416015625,0.39662083983421326,0.06425490975379944,1
kaiming,annulus,6,80000,4.295292854309082,35.57779312133789,0.3241122364997864,0.06919964402914047,1
kaiming,annulus,7,0,1.8940000534057617,33.48688888549805,0.4943574070930481,0.06321436911821365,1
kaiming,annulus,7,250,1.888366937637329,33.48384094238281,0.4941333532333374,0.06321142613887787,1
kaiming,annulus,7,500,1.8787169456481934,33.47456359863281,0.49358102679252625,0.06320036947727203,1
kaiming,annulus,7,1000,1.881521463394165,33.46170425415039,0.4924437403678894,0.06319057196378708,1
kaiming,annulus,7,2000,1.9167624711990356,33.43008804321289,0.48966851830482483,0.06316425651311874,1
kaiming,annulus,7,4000,2.2452468872070312,33.35506820678711,0.48006024956703186,0.06314301490783691,1
kaiming,annulus,7,8000,2.3328475952148438,32.965362548828125,0.4568342864513397,0.06264234334230423,1
kaiming,annulus,7,16000,2.567795991897583,32.75288009643555,0.42952051758766174,0.06254017353057861,1
kaiming,annulus,7,32000,2.94604754447937,33.09580993652344,0.3906254768371582,0.06366931647062302,1
kaiming,annulus,7,80000,4.356540203094482,35.183074951171875,0.3183167278766632,0.06842776387929916,1
kaiming_noid,annulus,0,0,1.4417428970336914,31.639392852783203,-0.00029598528635688126,0.06327696889638901,1
kaiming_noid,annulus,0,250,1.4392366409301758,31.62479019165039,0.0001581914402777329,0.06324783712625504,1
kaiming_noid,annulus,0,500,1.4350332021713257,31.61111831665039,4.742890450870618e-05,0.06322041898965836,1
kaiming_noid,annulus,0,1000,1.4345250129699707,31.582439422607422,-3.2305717212466334e-08,0.06316323578357697,1
kaiming_noid,annulus,0,2000,1.6368415355682373,31.525558471679688,0.0003094333515036851,0.06304913014173508,1
kaiming_noid,annulus,0,4000,1.831613302230835,31.404802322387695,0.00010068762640003115,0.0628049448132515,1
kaiming_noid,annulus,0,8000,2.0228021144866943,31.017311096191406,-0.0011425038101151586,0.0620214082300663,1
kaiming_noid,annulus,0,16000,2.3562610149383545,30.841188430786133,0.0014516828814521432,0.061654288321733475,1
kaiming_noid,annulus,0,32000,2.674067497253418,31.165361404418945,0.005338476039469242,0.062262583523988724,1
kaiming_noid,annulus,0,80000,3.267909288406372,33.145694732666016,0.013585064560174942,0.06602276116609573,1
kaiming_noid,annulus,1,0,1.4471113681793213,31.67152214050293,-0.0015594379510730505,0.06334145367145538,1
kaiming_noid,annulus,1,250,1.4424034357070923,31.657081604003906,-0.001103074406273663,0.06331299990415573,1
kaiming_noid,annulus,1,500,1.4324485063552856,31.642948150634766,-0.0011076786322519183,0.06328477710485458,1
kaiming_noid,annulus,1,1000,1.430135726928711,31.61480712890625,-0.001175752724520862,0.06322821229696274,1
