condition,hd_mode,k,seed,off_step,dom_step,wake_step,shuf_step,off_cont,dom_cont,wake_cont,shuf_cont,off_cov,dom_cov,wake_cov,shuf_cov
s2,axis,0,0,0.9243283540010452,0.6448441192507743,1.0,10.44030650891055,0.8952261306532663,0.9711055276381911,1.0,0.04020100502512563,0.09089506172839504,0.11172839506172841,0.2716049382716049,0.3888888888888889
s2,axis,0,1,0.9601076602935791,0.5939137175679207,1.0,9.219544457292887,0.8969849246231156,0.9763819095477387,1.0,0.04020100502512563,0.11666666666666663,0.10200617283950619,0.2716049382716049,0.39197530864197533
s2,axis,0,2,0.9470577895641327,0.6588284730911255,1.0,10.198039027185569,0.8773869346733667,0.9801507537688442,1.0,0.035175879396984924,0.09567901234567901,0.09938271604938273,0.2716049382716049,0.41975308641975306
s2,axis,0,3,1.0040339916944503,0.6208545148372651,1.0,10.198039027185569,0.8824120603015075,0.978140703517588,1.0,0.02512562814070352,0.09459876543209876,0.10030864197530864,0.2716049382716049,0.4074074074074074
s2,axis,0,4,0.9264312326908112,0.6302145645022392,1.0,10.295630140987,0.8896984924623116,0.9726130653266332,1.0,0.03015075376884422,0.09737654320987651,0.10123456790123457,0.2716049382716049,0.39197530864197533
s2,axis,0,5,0.9705249965190887,0.6487323179841041,1.0,10.44030650891055,0.8804020100502512,0.9595477386934673,1.0,0.020100502512562814,0.10401234567901234,0.11095679012345679,0.2716049382716049,0.4506172839506173
s2,const,0,0,0.8179170027375221,0.5447462007403374,1.0,10.44030650891055,0.9587939698492465,0.9625628140703517,1.0,0.04020100502512563,0.08070987654320988,0.08379629629629629,0.2716049382716049,0.3888888888888889
s2,const,0,1,0.810895574092865,0.5870378203690052,1.0,9.219544457292887,0.9542713567839197,0.9680904522613064,1.0,0.04020100502512563,0.08086419753086418,0.09660493827160493,0.2716049382716049,0.39197530864197533
s2,const,0,2,0.7477081507444382,0.4816861167550087,1.0,10.198039027185569,0.9741206030150753,0.9811557788944724,1.0,0.035175879396984924,0.07345679012345677,0.07839506172839508,0.2716049382716049,0.41975308641975306
s2,const,0,3,0.7452416315674781,0.4929455377161503,1.0,10.198039027185569,0.9623115577889447,0.9816582914572864,1.0,0.02512562814070352,0.08410493827160494,0.08595679012345679,0.2716049382716049,0.4074074074074074
s2,const,0,4,0.7927312761545181,0.47268600165843966,1.0,10.295630140987,0.9703517587939701,0.9834170854271356,1.0,0.03015075376884422,0.09567901234567902,0.0845679012345679,0.2716049382716049,0.39197530864197533
s2,const,0,5,0.7674708247184754,0.5095379382371903,1.0,10.44030650891055,0.9683417085427136,0.9753768844221105,1.0,0.020100502512562814,0.07916666666666666,0.08873456790123457,0.2716049382716049,0.4506172839506173
s2,full,0,0,0.9795978486537933,0.6057039454579354,1.0,10.44030650891055,0.8826633165829147,0.978894472361809,1.0,0.04020100502512563,0.09521604938271604,0.11126543209876541,0.2716049382716049,0.3888888888888889
s2,full,0,1,1.0937456965446473,0.5900318965315818,1.0,9.219544457292887,0.8283919597989948,0.985175879396985,1.0,0.04020100502512563,0.11466049382716052,0.08734567901234566,0.2716049382716049,0.39197530864197533
s2,full,0,2,0.9367589771747589,0.6298589780926704,1.0,10.198039027185569,0.8866834170854272,0.984422110552764,1.0,0.035175879396984924,0.09058641975308641,0.07870370370370369,0.2716049382716049,0.41975308641975306
s2,full,0,3,1.0504820138216018,0.6021066039800644,1.0,10.198039027185569,0.8178391959798995,0.9763819095477387,1.0,0.02512562814070352,0.09722222222222221,0.08503086419753085,0.2716049382716049,0.4074074074074074
s2,full,0,4,0.9594533443450928,0.6032812595367432,1.0,10.295630140987,0.900251256281407,0.9776381909547739,1.0,0.03015075376884422,0.10401234567901234,0.1037037037037037,0.2716049382716049,0.39197530864197533
s2,full,0,5,1.0459035843610764,0.6287748590111732,1.0,10.44030650891055,0.8668341708542714,0.9688442211055277,1.0,0.020100502512562814,0.09845679012345679,0.11404320987654319,0.2716049382716049,0.4506172839506173
s2,parity,0,0,0.8974760085344314,0.5361082293093204,1.0,10.44030650891055,0.9437185929648241,0.9733668341708542,1.0,0.04020100502512563,0.07962962962962963,0.09135802469135804,0.2716049382716049,0.3888888888888889
s2,parity,0,1,0.8674166798591614,0.5926226235926151,1.0,9.219544457292887,0.9407035175879397,0.9608040201005025,1.0,0.04020100502512563,0.08209876543209876,0.09645061728395062,0.2716049382716049,0.39197530864197533
s2,parity,0,2,0.8469499945640564,0.4820738211274147,1.0,10.198039027185569,0.9474874371859299,0.9869346733668343,1.0,0.035175879396984924,0.0912037037037037,0.07824074074074075,0.2716049382716049,0.41975308641975306
s2,parity,0,3,0.8051561743021012,0.5137738145887851,1.0,10.198039027185569,0.9489949748743719,0.978894472361809,1.0,0.02512562814070352,0.08966049382716049,0.08441358024691356,0.2716049382716049,0.4074074074074074
s2,parity,0,4,0.9009406805038452,0.5557672083377838,1.0,10.295630140987,0.9298994974874374,0.9590452261306532,1.0,0.03015075376884422,0.0824074074074074,0.07685185185185185,0.2716049382716049,0.39197530864197533
s2,parity,0,5,0.8391829133033752,0.5459581345319748,1.0,10.44030650891055,0.9517587939698494,0.9763819095477386,1.0,0.020100502512562814,0.10185185185185186,0.0933641975308642,0.2716049382716049,0.4506172839506173
