condition,hd_mode,k,seed,group,chance,phase_acc,raw_r2,domain_r2,spatial,path
s4,axis,5,2,c2,0.5,0.5444869932457213,-0.12892520427703857,0.8275225639343262,0.8275225639343262,/root/runs/hd_invariance/s4/axis/seed_02/ckpt_final.pt
s4,axis,5,3,c2,0.5,0.5549736052099549,-0.06674671173095703,0.8124313473701477,0.8124313473701477,/root/runs/hd_invariance/s4/axis/seed_03/ckpt_final.pt
s4,axis,5,6,c2,0.5,0.5485239013139013,-0.0729821801185608,0.8551985502243042,0.8551985502243042,/root/runs/hd_invariance/s4/axis/seed_06/ckpt_final.pt
s4,axis,5,7,c2,0.5,0.543549665203024,-0.08849098086357117,0.8424939990043641,0.8424939990043641,/root/runs/hd_invariance/s4/axis/seed_07/ckpt_final.pt
s4,axis,5,8,c2,0.5,0.5297295040116102,-0.07901830673217773,0.8157070517539978,0.8157070517539978,/root/runs/hd_invariance/s4/axis/seed_08/ckpt_final.pt
s4,axis,5,9,c2,0.5,0.5472981361186615,-0.08600383996963501,0.8506960391998291,0.8506960391998291,/root/runs/hd_invariance/s4/axis/seed_09/ckpt_final.pt
s4,const,5,0,c2,0.5,0.5173843888171381,-0.07693551778793335,-0.5807575523853302,-0.07693551778793335,/root/runs/hd_invariance/s4/const/seed_00/ckpt_final.pt
s4,const,5,1,c2,0.5,0.5228527587720505,-0.060816287994384766,-0.5925391912460327,-0.060816287994384766,/root/runs/hd_invariance/s4/const/seed_01/ckpt_final.pt
s4,const,5,2,c2,0.5,0.5208860077004531,-0.06653152704238892,-0.59182009100914,-0.06653152704238892,/root/runs/hd_invariance/s4/const/seed_02/ckpt_final.pt
s4,const,5,3,c2,0.5,0.5188622305740431,-0.07201370000839233,-0.5999406218528748,-0.07201370000839233,/root/runs/hd_invariance/s4/const/seed_03/ckpt_final.pt
s4,const,5,6,c2,0.5,0.5205159091112426,-0.06718686819076539,-0.5872904598712921,-0.06718686819076539,/root/runs/hd_invariance/s4/const/seed_06/ckpt_final.pt
s4,const,5,7,c2,0.5,0.5198716261575588,-0.07438427209854126,-0.5879117786884308,-0.07438427209854126,/root/runs/hd_invariance/s4/const/seed_07/ckpt_final.pt
s4,const,5,8,c2,0.5,0.5191377958150495,-0.06306689977645874,-0.5815596878528595,-0.06306689977645874,/root/runs/hd_invariance/s4/const/seed_08/ckpt_final.pt
s4,const,5,9,c2,0.5,0.5257868884003529,-0.0685141921043396,-0.5909825980663299,-0.0685141921043396,/root/runs/hd_invariance/s4/const/seed_09/ckpt_final.pt
s4,full,5,0,c2,0.5,0.9803402403975671,0.9800098657608032,0.8819093227386474,0.9800098657608032,/root/runs/hd_invariance/s4/full/seed_00/ckpt_final.pt
s4,full,5,1,c2,0.5,0.9830042526217095,0.9816164493560791,0.8641090154647827,0.9816164493560791,/root/runs/hd_invariance/s4/full/seed_01/ckpt_final.pt
s4,full,5,2,c2,0.5,0.9869043041193528,0.9823261976242066,0.882745909690857,0.9823261976242066,/root/runs/hd_invariance/s4/full/seed_02/ckpt_final.pt
