condition,hd_mode,k,seed,step,P0,P1,P2,P3,RA,odd,path
s1,full,5,6,final,0.2599621205043411,0.24883220048810162,0.24237347851945582,0.24883220048810162,0.017588641984885273,0.49766440097620324,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/full/seed_06/ckpt_final.pt
s1,full,5,7,final,0.26577007763839816,0.24760358384379466,0.2390227546740126,0.24760358384379466,0.02674732296438556,0.4952071676875893,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/full/seed_07/ckpt_final.pt
s1,full,5,8,final,0.2626952770658991,0.25011457675578475,0.23707556942253147,0.25011457675578475,0.025619707643367656,0.5002291535115695,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/full/seed_08/ckpt_final.pt
s1,full,5,9,final,0.2574053459605673,0.251643360297088,0.23930793344525705,0.251643360297088,0.01809741251531024,0.503286720594176,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/full/seed_09/ckpt_final.pt
s1,parity,5,0,final,0.301958632339685,0.23941098004544809,0.2192194075694193,0.23941098004544809,0.08273922477026567,0.47882196009089617,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/parity/seed_00/ckpt_final.pt
s1,parity,5,1,final,0.30357173485619854,0.23888728084293276,0.21865370345793553,0.23888728084293276,0.08491803139826304,0.4777745616858655,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/parity/seed_01/ckpt_final.pt
s1,parity,5,2,final,0.30695578917067,0.23791429162495623,0.2172156275794174,0.23791429162495623,0.08974016159125263,0.47582858324991245,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/parity/seed_02/ckpt_final.pt
s1,parity,5,3,final,0.3071978777345028,0.23658427084033617,0.21963358058482407,0.23658427084033617,0.0875642971496788,0.47316854168067235,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/parity/seed_03/ckpt_final.pt
s1,parity,5,4,final,0.2997402281188141,0.238791195218404,0.22267738144437738,0.238791195218404,0.07706284667443679,0.477582390436808,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/parity/seed_04/ckpt_final.pt
s1,parity,5,5,final,0.3073987315084925,0.2366302619160346,0.21934074465943804,0.2366302619160346,0.08805798684905451,0.4732605238320692,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s1/parity/seed_05/ckpt_final.pt
