condition,seed,lesion_mode,dose,n_units,frac_place,spatial_info,sparsity,selectivity,coherence,n_fields,field_area,mean_rate,peak_rate,infield_rate,outfield_rate,field_contrast,dir_info_marginal,dir_info_field,stability,ev_pos,ev_hd,ev_add,ev_conj,mixed,hd_rayleigh,frac_mixed,phase_acc,ev_orbit
s2,0,silence,1.0,500,0.758,0.7421,0.5137,4.8099,1.446,2.2559,57.2108,0.2195,0.8636,0.349,0.0414,17.9915,0.0019,0.0092,0.7755,0.2152,0.0004,0.2156,0.3517,0.1361,0.021,0.838,0.5546,0.2037
s2,0,randomize,0.0,500,0.954,1.1972,0.3871,5.6334,1.7941,1.9078,40.0699,0.2449,1.288,0.589,0.0527,48.8158,0.3537,0.3465,0.9495,0.5072,0.1024,0.6036,0.838,0.2345,0.3108,0.908,0.9812,0.2965
s2,0,randomize,0.15,500,0.944,1.1222,0.4013,5.4611,1.8201,1.8602,42.0712,0.2429,1.2398,0.5628,0.0535,26.1479,0.2539,0.2574,0.9446,0.4803,0.0799,0.5551,0.76,0.2049,0.2734,0.9,0.9785,0.2833
s2,0,randomize,0.3,500,0.92,1.0518,0.4148,5.2965,1.8318,1.8261,44.3096,0.2398,1.1891,0.5351,0.0552,19.6549,0.1832,0.1923,0.9377,0.4489,0.0594,0.5043,0.6839,0.1796,0.2332,0.898,0.9616,0.2689
s2,0,randomize,0.45,500,0.898,0.9668,0.4338,5.1033,1.8315,1.7528,48.1862,0.2378,1.1343,0.4996,0.0557,15.2744,0.123,0.1363,0.9284,0.4096,0.0407,0.4472,0.6054,0.1582,0.1931,0.89,0.9491,0.2523
s2,0,randomize,0.6,500,0.86,0.8706,0.4576,4.88,1.8011,1.7605,50.5255,0.2331,1.0627,0.457,0.0553,12.8902,0.0744,0.0894,0.9175,0.3623,0.025,0.3854,0.5275,0.1421,0.1505,0.89,0.9161,0.2349
s2,0,randomize,0.75,500,0.8,0.7424,0.4988,4.5812,1.7345,1.79,52.0785,0.2294,0.9799,0.3947,0.056,16.177,0.0352,0.048,0.8901,0.2944,0.0116,0.3051,0.4346,0.1295,0.1021,0.874,0.8361,0.2156
s2,0,randomize,0.9,500,0.664,0.6639,0.5367,4.255,1.6465,2.0151,52.3578,0.228,0.9013,0.3643,0.0469,25.4769,0.0075,0.0149,0.8632,0.2274,0.0024,0.2296,0.3528,0.1232,0.0477,0.838,0.6723,0.202
s2,0,randomize,1.0,500,0.6,0.6463,0.5541,3.9661,1.6038,2.59,58.8004,0.229,0.842,0.3601,0.0426,33.5356,0.0012,0.0063,0.8552,0.2028,0.0004,0.2031,0.3251,0.1221,0.0175,0.832,0.5285,0.1958
s2,1,silence,0.0,500,0.964,1.2367,0.3822,6.0837,1.8036,1.9212,40.4535,0.2447,1.3021,0.6046,0.0519,68.6506,0.3593,0.3556,0.9498,0.5163,0.1005,0.6112,0.8444,0.2332,0.3022,0.91,0.9844,0.3094
s2,1,silence,0.15,500,0.962,1.2243,0.381,6.0184,1.8406,1.8794,40.7722,0.2448,1.307,0.6098,0.053,53.9075,0.2503,0.2522,0.9485,0.5181,0.0765,0.5901,0.7986,0.2085,0.262,0.902,0.9782,0.3086
s2,1,silence,0.3,500,0.96,1.2087,0.3816,5.9536,1.8715,1.8375,40.9867,0.2452,1.3058,0.6117,0.0529,34.7571,0.1754,0.1809,0.9457,0.5153,0.0557,0.5675,0.7554,0.1879,0.2225,0.9,0.9723,0.3051
s2,1,silence,0.45,500,0.952,1.1797,0.3848,5.9183,1.8819,1.813,41.8581,0.2451,1.2927,0.6,0.0521,28.0859,0.1184,0.1274,0.9396,0.5007,0.0381,0.5363,0.7074,0.171,0.1833,0.902,0.9625,0.2947
s2,1,silence,0.6,500,0.942,1.1209,0.3946,5.795,1.8659,1.7834,42.5461,0.2455,1.2634,0.5748,0.0507,22.7241,0.0747,0.0847,0.9281,0.4694,0.0237,0.4915,0.6481,0.1566,0.1447,0.902,0.9382,0.2783
s2,1,silence,0.75,500,0.918,0.97,0.4292,5.4995,1.7637,1.6863,47.3533,0.2425,1.1716,0.4986,0.0494,16.0943,0.0399,0.0512,0.8888,0.3835,0.0121,0.3949,0.5378,0.1428,0.105,0.892,0.8736,0.2416
s2,1,silence,0.9,500,0.79,0.7859,0.496,5.136,1.5306,1.8506,49.9332,0.2326,1.0027,0.395,0.0493,15.119,0.0109,0.0203,0.8058,0.2455,0.0026,0.2479,0.3768,0.1289,0.0508,0.854,0.6779,0.2056
s2,1,silence,1.0,500,0.718,0.7899,0.5019,5.132,1.4728,2.117,57.8885,0.2246,0.9085,0.3699,0.045,18.086,0.004,0.0192,0.7527,0.2145,0.0007,0.2148,0.3413,0.1265,0.0265,0.818,0.5775,0.2008
s2,1,randomize,0.0,500,0.964,1.2362,0.3822,6.0074,1.8035,1.9232,40.4893,0.2447,1.3022,0.6046,0.0522,69.4515,0.3593,0.3556,0.9498,0.5163,0.1005,0.6112,0.8444,0.2332,0.3023,0.91,0.9838,0.3094
s2,1,randomize,0.15,500,0.948,1.1607,0.3953,5.8862,1.827,1.8629,42.2601,0.2424,1.2573,0.5808,0.052,29.7722,0.255,0.2608,0.944,0.4875,0.0778,0.5607,0.7624,0.2017,0.2654,0.904,0.9714,0.294
s2,1,randomize,0.3,500,0.924,1.0833,0.4102,5.5994,1.8599,1.855,43.4816,0.24,1.2006,0.5474,0.0529,21.6826,0.1791,0.195,0.9368,0.4529,0.0572,0.5066,0.6818,0.1752,0.2259,0.902,0.9625,0.2773
s2,1,randomize,0.45,500,0.896,0.9971,0.4294,5.3901,1.8577,1.7879,46.3683,0.2384,1.1393,0.5145,0.0534,16.9837,0.1207,0.1384,0.9291,0.4126,0.0392,0.449,0.6025,0.1535,0.1869,0.902,0.942,0.2594
s2,1,randomize,0.6,500,0.856,0.9014,0.4528,5.1549,1.8303,1.7991,47.1441,0.2362,1.0765,0.4735,0.0525,13.2946,0.071,0.0869,0.9168,0.3644,0.0234,0.3861,0.5229,0.1368,0.1445,0.89,0.9123,0.2405
s2,1,randomize,0.75,500,0.764,0.7924,0.4847,4.8636,1.7509,1.8063,49.6697,0.2325,1.0001,0.4164,0.0514,12.4558,0.034,0.0492,0.8897,0.2956,0.0109,0.3054,0.4308,0.1254,0.0987,0.874,0.8195,0.2212
s2,1,randomize,0.9,500,0.64,0.7086,0.5296,4.4901,1.6425,2.2531,50.679,0.2339,0.8965,0.3814,0.0466,18.5106,0.0068,0.0189,0.856,0.2246,0.0022,0.2265,0.3459,0.1193,0.0442,0.848,0.622,0.2074
s2,1,randomize,1.0,500,0.622,0.6919,0.541,4.3431,1.6015,2.5305,56.0581,0.2343,0.8731,0.3748,0.0453,19.3743,0.0017,0.0136,0.8502,0.2125,0.0005,0.2128,0.3311,0.1184,0.0198,0.838,0.5372,0.2041
s2,2,silence,0.0,500,0.954,1.2163,0.383,5.7515,1.8067,1.9539,39.5805,0.2403,1.2751,0.5813,0.0493,159.4459,0.3618,0.3544,0.9513,0.5113,0.1022,0.608,0.8406,0.2326,0.3144,0.918,0.9863,0.3035
s2,2,silence,0.15,500,0.952,1.2062,0.3816,5.7531,1.8392,1.9517,38.9563,0.2402,1.277,0.5845,0.0503,37.9105,0.2539,0.2513,0.951,0.5131,0.0785,0.5871,0.7962,0.209,0.2734,0.918,0.9834,0.3031
s2,2,silence,0.3,500,0.954,1.1884,0.383,5.7381,1.8602,1.9539,38.4688,0.2397,1.2716,0.5803,0.05,28.8623,0.1792,0.1803,0.9472,0.5104,0.0578,0.5647,0.7537,0.189,0.2328,0.924,0.9778,0.3001
s2,2,silence,0.45,500,0.952,1.1648,0.3859,5.7126,1.8716,1.9286,38.8304,0.2389,1.2577,0.5697,0.0503,24.903,0.1231,0.129,0.9433,0.5008,0.0402,0.5384,0.7116,0.1731,0.1932,0.926,0.968,0.2937
s2,2,silence,0.6,500,0.946,1.1176,0.3937,5.646,1.8656,1.9049,39.1549,0.2378,1.2291,0.5494,0.051,20.351,0.0796,0.0874,0.9341,0.4765,0.0257,0.5005,0.6606,0.1601,0.1541,0.92,0.9481,0.2815
s2,2,silence,0.75,500,0.94,0.9997,0.4195,5.4569,1.793,1.8745,40.4035,0.2361,1.1668,0.5002,0.0523,14.9898,0.0437,0.0546,0.9054,0.4176,0.0138,0.4306,0.5785,0.148,0.1135,0.9,0.8949,0.2618
s2,2,silence,0.9,500,0.874,0.8385,0.466,5.1713,1.6421,1.8947,42.904,0.2286,1.0556,0.4172,0.0518,12.2828,0.0151,0.0289,0.8529,0.3133,0.0043,0.3172,0.4523,0.1351,0.0656,0.872,0.755,0.2351
s2,2,silence,1.0,500,0.774,0.7736,0.5041,4.7607,1.5065,2.2765,51.3577,0.2238,0.9301,0.3729,0.045,15.281,0.0029,0.0141,0.7703,0.2409,0.0007,0.2413,0.3705,0.1292,0.0259,0.842,0.5688,0.2247
s2,2,randomize,0.0,500,0.954,1.2162,0.383,5.7512,1.8066,1.956,39.5556,0.2403,1.275,0.5816,0.0493,154.0198,0.3618,0.3541,0.9513,0.5113,0.1022,0.608,0.8406,0.2326,0.3144,0.918,0.9853,0.3035
s2,2,randomize,0.15,500,0.94,1.1359,0.3974,5.5599,1.837,1.9191,40.8324,0.2378,1.2233,0.5556,0.0502,28.0077,0.2551,0.258,0.9454,0.4818,0.0789,0.5563,0.7571,0.2008,0.2738,0.918,0.9783,0.2885
s2,2,randomize,0.3,500,0.93,1.0457,0.4171,5.3183,1.846,1.9183,42.5609,0.2353,1.1593,0.5214,0.0523,19.7823,0.1801,0.1884,0.9377,0.4477,0.0585,0.5027,0.678,0.1753,0.234,0.924,0.969,0.2727
s2,2,randomize,0.45,500,0.904,0.9591,0.4371,5.1327,1.8455,1.8783,44.696,0.2335,1.1069,0.4843,0.053,15.4898,0.1187,0.1322,0.9308,0.4078,0.0399,0.4454,0.5985,0.1531,0.1912,0.916,0.9547,0.2546
s2,2,randomize,0.6,500,0.856,0.8579,0.4624,4.9017,1.8276,1.8621,46.7198,0.2321,1.046,0.4449,0.0537,12.2025,0.0714,0.0847,0.9166,0.3564,0.0242,0.3791,0.5163,0.1371,0.1483,0.908,0.9123,0.2359
s2,2,randomize,0.75,500,0.784,0.7755,0.4872,4.6621,1.7641,1.8571,49.1436,0.2279,0.9771,0.4026,0.0513,11.6106,0.0357,0.0466,0.8997,0.3047,0.0118,0.3157,0.4417,0.1261,0.104,0.886,0.8508,0.2211
s2,2,randomize,0.9,500,0.636,0.6907,0.527,4.2736,1.6548,2.195,49.0876,0.2267,0.8902,0.3638,0.0469,212.5947,0.0086,0.0184,0.8611,0.2312,0.0026,0.2336,0.3533,0.1197,0.0491,0.844,0.6555,0.2076
s2,2,randomize,1.0,500,0.598,0.6692,0.5435,3.9803,1.6283,2.6254,54.5049,0.2242,0.8238,0.3543,0.0433,541.861,0.0015,0.0085,0.854,0.211,0.0004,0.2113,0.3289,0.1176,0.0186,0.832,0.5395,0.2037
s2,3,silence,0.0,500,0.962,1.2202,0.3829,5.7355,1.8086,1.8753,40.8501,0.2404,1.2847,0.5944,0.0468,1802.7098,0.3679,0.3507,0.9524,0.5142,0.1038,0.6121,0.8456,0.2335,0.3182,0.916,0.9755,0.3001
s2,3,silence,0.15,500,0.966,1.205,0.3833,5.7316,1.8382,1.8571,40.8761,0.2401,1.2871,0.5981,0.0483,40.7675,0.2561,0.2448,0.9502,0.517,0.0793,0.5913,0.7997,0.2084,0.2763,0.918,0.9752,0.3006
s2,3,silence,0.3,500,0.962,1.1915,0.3831,5.7248,1.87,1.8025,41.283,0.241,1.2899,0.5973,0.0489,33.7329,0.1797,0.1745,0.9488,0.5142,0.0585,0.5685,0.756,0.1874,0.2357,0.918,0.9719,0.2975
s2,3,silence,0.45,500,0.952,1.1716,0.3839,5.7135,1.8901,1.7752,41.2715,0.24,1.2842,0.5892,0.0476,26.5956,0.1223,0.1186,0.9447,0.503,0.0404,0.5402,0.7106,0.1705,0.1953,0.912,0.9613,0.2899
s2,3,silence,0.6,500,0.95,1.1236,0.3923,5.641,1.8842,1.7158,42.8822,0.239,1.2596,0.5667,0.0479,21.6534,0.078,0.0795,0.9358,0.4802,0.0256,0.5036,0.6611,0.1575,0.1559,0.916,0.9545,0.2774
s2,3,silence,0.75,500,0.938,1.0237,0.4123,5.4981,1.8219,1.6695,44.5625,0.2362,1.2089,0.5201,0.0483,17.2097,0.0433,0.0494,0.9162,0.426,0.0137,0.4385,0.5845,0.146,0.1153,0.896,0.9128,0.254
s2,3,silence,0.9,500,0.842,0.7954,0.481,4.9836,1.607,1.7601,47.9983,0.2302,1.0436,0.4035,0.0461,17.9354,0.0128,0.0263,0.8454,0.2773,0.0034,0.2807,0.4136,0.1328,0.0592,0.854,0.7267,0.2218
s2,3,silence,1.0,500,0.764,0.7578,0.5061,4.6949,1.4962,2.3325,54.4105,0.2203,0.9124,0.3655,0.04,26.6278,0.0025,0.012,0.7839,0.2279,0.0005,0.2284,0.3613,0.1329,0.0254,0.832,0.5556,0.2154
s2,3,randomize,0.0,500,0.962,1.2202,0.3829,5.7357,1.8086,1.8753,40.8461,0.2404,1.2847,0.5945,0.0468,1581.7299,0.3679,0.3506,0.9524,0.5142,0.1038,0.6121,0.8456,0.2335,0.3182,0.916,0.9761,0.3001
s2,3,randomize,0.15,500,0.946,1.1343,0.3982,5.5311,1.8386,1.833,42.5173,0.2384,1.233,0.5649,0.0486,26.702,0.2575,0.2538,0.9458,0.4825,0.0798,0.5574,0.7576,0.2003,0.277,0.918,0.9644,0.2844
s2,3,randomize,0.3,500,0.924,1.0663,0.4109,5.3615,1.8638,1.79,44.6094,0.2372,1.1898,0.5395,0.0507,20.484,0.183,0.1866,0.9413,0.4517,0.0594,0.5071,0.6824,0.1752,0.2378,0.916,0.9612,0.2699
s2,3,randomize,0.45,500,0.898,0.9736,0.4313,5.1379,1.8514,1.7572,46.207,0.235,1.1296,0.5002,0.0523,16.4115,0.1227,0.1312,0.9322,0.4102,0.0409,0.448,0.6013,0.1534,0.1958,0.914,0.9449,0.2523
s2,3,randomize,0.6,500,0.844,0.8944,0.4486,4.9605,1.8428,1.7559,47.4235,0.2319,1.074,0.464,0.0512,14.0687,0.0747,0.0834,0.9204,0.3663,0.025,0.3891,0.5262,0.1372,0.1528,0.898,0.9166,0.2368
s2,3,randomize,0.75,500,0.766,0.7666,0.4868,4.6265,1.7622,1.7389,49.9807,0.2275,0.9838,0.4002,0.0509,14.234,0.0349,0.042,0.8931,0.2952,0.0114,0.3054,0.4302,0.1248,0.1027,0.862,0.8264,0.2174
s2,3,randomize,0.9,500,0.648,0.6707,0.533,4.1836,1.6576,2.071,49.8181,0.2269,0.8897,0.3639,0.0457,26.3059,0.0077,0.0111,0.8592,0.2258,0.0023,0.2278,0.3468,0.119,0.0459,0.84,0.6568,0.2023
s2,3,randomize,1.0,500,0.6,0.651,0.5496,3.8685,1.6226,2.6133,57.4738,0.2237,0.8134,0.3508,0.0426,39.8467,0.0014,0.0056,0.8318,0.2048,0.0004,0.2051,0.3234,0.1183,0.0196,0.83,0.5361,0.1979
s2,4,silence,0.0,500,0.936,1.2195,0.3842,5.7314,1.8175,1.9444,39.4223,0.2452,1.3073,0.6035,0.0534,543.3321,0.357,0.3469,0.9502,0.5017,0.1025,0.5987,0.8382,0.2394,0.3075,0.918,0.9803,0.2962
s2,4,silence,0.15,500,0.934,1.2098,0.3827,5.7306,1.856,1.8887,39.4479,0.2456,1.3129,0.6057,0.0542,41.5416,0.2444,0.2402,0.95,0.5047,0.0781,0.5783,0.7924,0.2141,0.2662,0.918,0.9738,0.2966
s2,4,silence,0.3,500,0.932,1.1959,0.3829,5.7168,1.8826,1.8777,39.3026,0.2453,1.3096,0.604,0.0551,30.8036,0.1716,0.1739,0.9478,0.5026,0.0573,0.5563,0.7499,0.1936,0.2266,0.914,0.9682,0.2938
s2,4,silence,0.45,500,0.924,1.1766,0.3841,5.7003,1.9009,1.8203,40.4269,0.2453,1.3011,0.596,0.0552,25.5785,0.1174,0.1228,0.9444,0.4935,0.0399,0.5307,0.7082,0.1775,0.1888,0.914,0.9618,0.2868
s2,4,silence,0.6,500,0.918,1.1294,0.3926,5.6469,1.8949,1.7996,40.7537,0.2449,1.274,0.5731,0.0539,21.26,0.0759,0.0842,0.9369,0.4685,0.0254,0.4921,0.656,0.164,0.1518,0.912,0.9491,0.2714
s2,4,silence,0.75,500,0.908,1.0249,0.4155,5.491,1.8262,1.7731,42.6058,0.2425,1.2085,0.5242,0.0503,40475.5284,0.0429,0.0524,0.9161,0.4131,0.0136,0.4259,0.5788,0.1529,0.114,0.904,0.9134,0.2484
s2,4,silence,0.9,500,0.82,0.823,0.4752,5.1324,1.6038,1.8976,44.4135,0.2326,1.0401,0.4081,0.051,479.9512,0.0133,0.024,0.8396,0.2802,0.0035,0.2835,0.424,0.1405,0.0605,0.862,0.721,0.2251
s2,4,silence,1.0,500,0.736,0.7769,0.5014,4.8899,1.4947,2.2337,51.596,0.2216,0.9099,0.3663,0.0463,43.3204,0.0026,0.0161,0.803,0.2251,0.0007,0.2255,0.3636,0.1381,0.0272,0.866,0.5684,0.212
s2,4,randomize,0.0,500,0.936,1.2194,0.3842,5.7308,1.8175,1.9423,39.4546,0.2452,1.3072,0.6035,0.0534,544.1394,0.357,0.3469,0.9501,0.5016,0.1025,0.5987,0.8381,0.2394,0.3075,0.918,0.9809,0.2962
s2,4,randomize,0.15,500,0.92,1.1407,0.3982,5.544,1.8495,1.9304,40.7797,0.2426,1.2554,0.5748,0.0551,29.6892,0.2482,0.2498,0.9448,0.472,0.079,0.5468,0.7534,0.2066,0.2678,0.918,0.97,0.2808
s2,4,randomize,0.3,500,0.898,1.0655,0.4133,5.3451,1.8763,1.8753,42.795,0.2399,1.1986,0.5407,0.0556,1000.3154,0.1758,0.1831,0.9377,0.4388,0.0586,0.4941,0.6743,0.1802,0.2293,0.92,0.9575,0.2644
s2,4,randomize,0.45,500,0.872,0.9773,0.4331,5.1292,1.8779,1.8463,45.147,0.2376,1.1377,0.5042,0.0568,43.1695,0.1183,0.1297,0.9286,0.3986,0.0404,0.4363,0.5942,0.1579,0.1885,0.92,0.9418,0.2468
s2,4,randomize,0.6,500,0.83,0.8943,0.4535,4.9781,1.8419,1.8096,47.5942,0.235,1.0872,0.4655,0.0568,59.6608,0.0731,0.0829,0.9201,0.3555,0.025,0.3788,0.5215,0.1427,0.1487,0.916,0.9131,0.2306
s2,4,randomize,0.75,500,0.76,0.793,0.4825,4.6992,1.7826,1.8316,48.821,0.2282,0.9937,0.4109,0.0535,35.7963,0.0349,0.0451,0.8965,0.2962,0.0117,0.307,0.438,0.131,0.1026,0.872,0.8442,0.2143
s2,4,randomize,0.9,500,0.644,0.6964,0.5249,4.3063,1.6661,2.1957,48.229,0.2234,0.8847,0.3655,0.0492,25.5512,0.0079,0.0153,0.8618,0.2248,0.0025,0.2273,0.3521,0.1248,0.0487,0.836,0.654,0.2024
s2,4,randomize,1.0,500,0.606,0.6697,0.5442,3.9758,1.6188,2.6073,55.9912,0.2234,0.8234,0.3542,0.0433,34.0981,0.0016,0.0073,0.8503,0.203,0.0004,0.2033,0.327,0.1238,0.0201,0.822,0.5356,0.196
s2,5,silence,0.0,500,0.938,1.2309,0.3815,5.8123,1.8079,1.9424,40.6846,0.2429,1.2889,0.5956,0.0472,307.3922,0.3788,0.3618,0.9434,0.5011,0.1022,0.5973,0.8362,0.2389,0.3076,0.914,0.9832,0.3021
s2,5,silence,0.15,500,0.94,1.2133,0.3823,5.7998,1.8411,1.8872,41.3121,0.2436,1.2933,0.6008,0.0483,56.2636,0.2579,0.2488,0.9428,0.5038,0.0781,0.577,0.7907,0.2137,0.2668,0.914,0.9801,0.3015
s2,5,silence,0.3,500,0.938,1.2012,0.3819,5.7997,1.8685,1.855,41.4296,0.2436,1.2941,0.6003,0.049,37.9038,0.1812,0.1759,0.9416,0.5032,0.0574,0.5566,0.7492,0.1925,0.2277,0.908,0.9736,0.2988
s2,5,silence,0.45,500,0.934,1.1764,0.384,5.802,1.8777,1.8051,41.7961,0.2425,1.2841,0.5887,0.0505,187.3788,0.1256,0.1265,0.9369,0.4915,0.04,0.5286,0.7041,0.1754,0.1894,0.91,0.9649,0.2894
s2,5,silence,0.6,500,0.928,1.1161,0.3944,5.7416,1.856,1.7522,42.462,0.2411,1.2537,0.5609,0.0501,53.0521,0.0786,0.0828,0.9252,0.4616,0.0251,0.4848,0.6452,0.1603,0.1498,0.914,0.9481,0.2717
s2,5,silence,0.75,500,0.914,0.9758,0.4262,5.4869,1.7756,1.7002,45.5214,0.2394,1.1705,0.4952,0.0518,25.8991,0.0413,0.0487,0.8945,0.386,0.0128,0.3982,0.5442,0.146,0.1082,0.89,0.8898,0.2391
s2,5,silence,0.9,500,0.794,0.7963,0.4805,5.2165,1.546,1.7582,49.5015,0.2237,1.001,0.3821,0.0512,27.009,0.0114,0.021,0.8039,0.2534,0.0031,0.2564,0.3884,0.132,0.0555,0.838,0.6933,0.2038
s2,5,silence,1.0,500,0.72,0.7728,0.4991,5.0434,1.4088,2.1667,57.0676,0.2011,0.8355,0.3269,0.0365,98.7284,0.0022,0.0112,0.7249,0.2047,0.0005,0.2051,0.338,0.1329,0.0252,0.822,0.572,0.1922
s2,5,randomize,0.0,500,0.938,1.2306,0.3816,5.8111,1.8079,1.9403,40.715,0.2429,1.2887,0.5945,0.0471,985.5176,0.3788,0.3624,0.9434,0.501,0.1022,0.5972,0.8361,0.2388,0.3076,0.914,0.983,0.302
s2,5,randomize,0.15,500,0.926,1.1477,0.3961,5.6151,1.8391,1.8963,42.4936,0.2412,1.2406,0.5678,0.0498,30.0744,0.2649,0.2637,0.9384,0.4732,0.0789,0.5472,0.7531,0.2059,0.2681,0.912,0.9762,0.2879
s2,5,randomize,0.3,500,0.914,1.06,0.4145,5.3674,1.8535,1.8928,43.5501,0.2388,1.1806,0.5372,0.0501,22.0067,0.184,0.1847,0.9315,0.4408,0.0578,0.4947,0.6727,0.178,0.228,0.908,0.9606,0.2719
s2,5,randomize,0.45,500,0.89,0.9716,0.4342,5.1545,1.8577,1.8539,45.8788,0.2365,1.1239,0.5018,0.0513,18.6518,0.1237,0.1298,0.9218,0.4028,0.0398,0.4399,0.5962,0.1563,0.1881,0.902,0.9484,0.2552
s2,5,randomize,0.6,500,0.85,0.8838,0.4561,4.9478,1.8334,1.84,46.5736,0.2332,1.0627,0.4621,0.0511,15.0997,0.0735,0.0804,0.9094,0.3597,0.0236,0.3815,0.5211,0.1395,0.1439,0.888,0.9171,0.2394
s2,5,randomize,0.75,500,0.746,0.7722,0.4865,4.619,1.7848,1.8204,49.3761,0.2312,0.9831,0.4084,0.0536,14.9017,0.0332,0.0432,0.89,0.2903,0.0107,0.3004,0.4275,0.1271,0.0968,0.846,0.8273,0.2198
s2,5,randomize,0.9,500,0.64,0.6941,0.5232,4.3136,1.6791,2.05,50.1909,0.2312,0.9105,0.376,0.0484,17.2664,0.0082,0.0172,0.8608,0.231,0.0025,0.2332,0.3548,0.1216,0.0469,0.816,0.6749,0.2075
s2,5,randomize,1.0,500,0.6,0.6691,0.5419,4.0518,1.6256,2.51,56.0406,0.2295,0.8594,0.3643,0.0466,19.437,0.0016,0.0085,0.8412,0.21,0.0005,0.2104,0.3303,0.12,0.0214,0.812,0.5369,0.2031
s4,0,silence,0.0,500,0.948,1.1777,0.3913,5.6655,1.7295,2.2806,39.0135,0.2372,1.2294,0.5729,0.0582,563.0622,0.341,0.3385,0.9447,0.4902,0.0971,0.5815,0.8259,0.2445,0.2929,0.942,0.9836,0.2803
s4,0,silence,0.15,500,0.948,1.154,0.3932,5.6008,1.7579,2.2447,39.3641,0.2374,1.2293,0.5718,0.0577,31.0216,0.2366,0.2383,0.9415,0.4874,0.0747,0.5572,0.7778,0.2206,0.254,0.94,0.9728,0.2772
s4,0,silence,0.3,500,0.944,1.1318,0.3957,5.5797,1.7799,2.1822,40.0076,0.2376,1.223,0.5641,0.0564,27.0079,0.1677,0.1737,0.9373,0.4793,0.0555,0.5309,0.7323,0.2014,0.2171,0.938,0.9645,0.2716
s4,0,silence,0.45,500,0.94,1.0923,0.4029,5.5235,1.7821,2.1149,41.7163,0.2371,1.2043,0.5461,0.0531,30.5159,0.1132,0.1202,0.9298,0.4607,0.0384,0.4961,0.681,0.1849,0.1795,0.938,0.9553,0.2609
s4,0,silence,0.6,500,0.932,1.0265,0.4172,5.4204,1.7527,2.0451,43.7691,0.2364,1.1683,0.5142,0.0482,29.4032,0.071,0.0781,0.9135,0.4252,0.0242,0.4474,0.618,0.1706,0.1426,0.934,0.9289,0.2423
s4,0,silence,0.75,500,0.902,0.8996,0.449,5.1581,1.6534,1.9113,49.6983,0.2342,1.0875,0.4553,0.048,47.9904,0.0376,0.0454,0.8737,0.3515,0.0127,0.363,0.5206,0.1575,0.1045,0.9,0.8632,0.2141
s4,0,silence,0.9,500,0.762,0.7248,0.5121,4.8301,1.4065,2.231,51.6012,0.2097,0.8909,0.3371,0.0416,270.0807,0.009,0.0152,0.7518,0.2195,0.0028,0.2218,0.3659,0.1441,0.0521,0.834,0.6571,0.1793
s4,0,silence,1.0,500,0.678,0.7366,0.5166,4.7862,1.337,2.7434,58.8805,0.1956,0.7881,0.3081,0.0306,953.4611,0.0016,0.0062,0.7231,0.1886,0.0004,0.1889,0.334,0.145,0.0233,0.816,0.5589,0.1757
s4,0,randomize,0.0,500,0.948,1.1778,0.3913,5.6666,1.7296,2.2869,38.9407,0.2372,1.2296,0.5728,0.0582,556.72,0.341,0.3383,0.9447,0.4902,0.0971,0.5815,0.826,0.2445,0.2929,0.944,0.9813,0.2804
s4,0,randomize,0.15,500,0.94,1.0781,0.4116,5.3791,1.745,2.2468,40.9695,0.2349,1.169,0.537,0.0584,24.9054,0.2406,0.2494,0.9373,0.4549,0.0762,0.5262,0.7411,0.2148,0.2572,0.94,0.9644,0.2634
s4,0,randomize,0.3,500,0.914,0.9887,0.4312,5.1545,1.7472,2.2363,43.0991,0.2326,1.1087,0.5011,0.0544,18.1227,0.1708,0.1843,0.9278,0.4148,0.0571,0.4679,0.6573,0.1894,0.2195,0.936,0.9429,0.2458
s4,0,randomize,0.45,500,0.89,0.8842,0.4588,4.915,1.7323,2.1685,46.2688,0.2292,1.0377,0.4531,0.0523,23.4353,0.1129,0.13,0.9137,0.3677,0.0393,0.404,0.5732,0.1692,0.1815,0.932,0.9157,0.2273
s4,0,randomize,0.6,500,0.83,0.7859,0.4865,4.6511,1.6907,2.1398,50.1029,0.2242,0.9642,0.4091,0.051,17.4718,0.0653,0.0798,0.8978,0.3141,0.0238,0.3359,0.4894,0.1535,0.1401,0.93,0.8542,0.2112
s4,0,randomize,0.75,500,0.706,0.7075,0.5147,4.4401,1.6251,2.1473,52.7785,0.2179,0.8889,0.357,0.0479,51.1087,0.0291,0.0444,0.8688,0.2522,0.0105,0.2619,0.4055,0.1436,0.0933,0.888,0.7354,0.1956
s4,0,randomize,0.9,500,0.616,0.6482,0.5508,4.0879,1.5424,2.6331,56.6801,0.2145,0.7979,0.3302,0.0414,123.4286,0.0055,0.0153,0.8438,0.2045,0.0019,0.2063,0.3457,0.1394,0.0426,0.87,0.5951,0.1891
s4,0,randomize,1.0,500,0.602,0.6369,0.5601,3.9457,1.5248,2.9236,63.3672,0.2148,0.7747,0.3276,0.0397,46.2383,0.0011,0.012,0.8418,0.1951,0.0003,0.1954,0.3335,0.1381,0.0181,0.848,0.5201,0.1879
s4,1,silence,0.0,500,0.926,1.209,0.3851,5.7687,1.71,2.1425,39.7829,0.2401,1.252,0.5783,0.0573,56.7311,0.3602,0.3586,0.9468,0.4881,0.0987,0.5813,0.8219,0.2407,0.3016,0.952,0.9854,0.2794
