condition,seed,lesion_mode,dose,n_units,frac_place,spatial_info,sparsity,selectivity,coherence,n_fields,field_area,mean_rate,peak_rate,infield_rate,outfield_rate,field_contrast,dir_info_marginal,dir_info_field,stability,ev_pos,ev_hd,ev_add,ev_conj,mixed,hd_rayleigh,frac_mixed,phase_acc,ev_orbit
s1,1,silence,1.0,500,0.882,0.8272,0.474,5.2559,1.5893,1.585,49.0036,0.2303,1.0569,0.4036,0.0422,28.4133,0.0118,0.0175,0.8268,0.2903,0.0029,0.2928,0.4156,0.1227,0.0615,0.812,0.8621,0.1762
s1,1,randomize,0.0,500,0.97,1.241,0.3756,5.8491,1.8215,1.8,40.2326,0.2472,1.3493,0.6123,0.0476,67.1271,0.3803,0.3774,0.952,0.5295,0.111,0.6329,0.8547,0.2218,0.3401,0.894,0.9849,0.2725
s1,1,randomize,0.15,500,0.958,1.1609,0.3896,5.6726,1.8517,1.8038,40.543,0.2459,1.3052,0.5881,0.049,29.1659,0.269,0.2761,0.9473,0.5014,0.086,0.581,0.77,0.189,0.2978,0.884,0.9779,0.2578
s1,1,randomize,0.3,500,0.938,1.0839,0.4053,5.4423,1.8877,1.7676,42.81,0.245,1.2512,0.5621,0.048,22.6659,0.1893,0.1982,0.9411,0.4676,0.0633,0.5259,0.6876,0.1617,0.2536,0.874,0.9713,0.241
s1,1,randomize,0.45,500,0.906,1.0057,0.4214,5.2618,1.8934,1.702,44.8701,0.2426,1.2017,0.5309,0.0495,18.2789,0.1276,0.1374,0.9346,0.4289,0.0436,0.4684,0.6079,0.1395,0.21,0.87,0.9641,0.2224
s1,1,randomize,0.6,500,0.876,0.9127,0.4454,5.0049,1.8744,1.6689,47.2821,0.2397,1.133,0.4886,0.0489,15.2817,0.0763,0.0854,0.9239,0.3834,0.0264,0.4072,0.5294,0.1222,0.1624,0.848,0.9554,0.2022
s1,1,randomize,0.75,500,0.81,0.8204,0.4709,4.8139,1.8315,1.6444,48.734,0.2347,1.0667,0.4399,0.0471,16.6653,0.0394,0.0478,0.9068,0.3279,0.0132,0.3394,0.4505,0.111,0.1156,0.812,0.9374,0.181
s1,1,randomize,0.9,500,0.712,0.7301,0.5039,4.595,1.7543,1.6517,51.029,0.2299,0.9964,0.3971,0.0459,22.0161,0.0133,0.0179,0.883,0.2645,0.0039,0.2678,0.3732,0.1054,0.0647,0.794,0.8966,0.1633
s1,1,randomize,1.0,500,0.664,0.7012,0.5162,4.4843,1.7103,1.8072,49.7729,0.2287,0.9634,0.3845,0.0433,21.7022,0.0058,0.0103,0.8699,0.2418,0.0014,0.2429,0.346,0.1031,0.0402,0.772,0.8716,0.1589
s1,2,silence,0.0,500,0.954,1.2491,0.3787,6.1456,1.8416,1.7778,41.5836,0.2462,1.3412,0.6276,0.0448,127.8222,0.3937,0.3848,0.9491,0.5184,0.1117,0.6255,0.8516,0.2261,0.3519,0.898,0.9921,0.2566
s1,2,silence,0.15,500,0.962,1.2292,0.3797,6.163,1.8745,1.7609,41.0405,0.2457,1.3399,0.628,0.0469,169.2645,0.2786,0.2741,0.9486,0.5215,0.0852,0.6031,0.8034,0.2004,0.3057,0.888,0.9844,0.2574
s1,2,silence,0.3,500,0.958,1.2182,0.3784,6.0556,1.9098,1.7203,41.8923,0.2458,1.3414,0.6323,0.0472,125.148,0.1978,0.1974,0.9461,0.5195,0.0622,0.5788,0.7577,0.1789,0.26,0.892,0.9844,0.2552
s1,2,silence,0.45,500,0.958,1.1938,0.3815,6.0439,1.9291,1.666,42.3996,0.2454,1.3304,0.6205,0.0462,629.0067,0.1361,0.1406,0.9433,0.5098,0.0429,0.5506,0.7125,0.1619,0.2149,0.888,0.9773,0.249
s1,2,silence,0.6,500,0.952,1.1471,0.3895,5.9483,1.9246,1.584,44.8708,0.2452,1.3029,0.5958,0.0448,182.5203,0.0876,0.0938,0.9342,0.4843,0.0273,0.5101,0.6586,0.1485,0.1704,0.882,0.967,0.2344
s1,2,silence,0.75,500,0.934,1.0842,0.4017,5.87,1.8959,1.5289,46.5213,0.2445,1.2651,0.5565,0.0423,105.3981,0.0525,0.058,0.9149,0.4426,0.0152,0.457,0.5956,0.1385,0.1279,0.876,0.9601,0.2133
s1,2,silence,0.9,500,0.902,0.9563,0.4311,5.8144,1.7921,1.5011,48.2941,0.2411,1.1845,0.4872,0.042,338.4314,0.026,0.0334,0.8759,0.3647,0.0068,0.3711,0.5011,0.13,0.0896,0.84,0.9137,0.1845
s1,2,silence,1.0,500,0.864,0.8425,0.4662,5.4958,1.6727,1.5301,50.1537,0.2376,1.1011,0.4248,0.043,249.406,0.0142,0.0238,0.8256,0.2918,0.0032,0.2949,0.4209,0.126,0.0639,0.822,0.8631,0.1643
s1,2,randomize,0.0,500,0.954,1.2493,0.3787,6.1457,1.8417,1.7799,41.5706,0.2462,1.3412,0.6276,0.0448,119.2613,0.3937,0.3847,0.9491,0.5185,0.1117,0.6256,0.8516,0.2261,0.3519,0.898,0.9928,0.2566
s1,2,randomize,0.15,500,0.94,1.1635,0.3933,5.7834,1.8786,1.7234,43.0206,0.2453,1.2928,0.598,0.0459,95.6102,0.2767,0.2818,0.9446,0.4885,0.0857,0.5705,0.7629,0.1925,0.305,0.892,0.9809,0.2421
s1,2,randomize,0.3,500,0.92,1.0857,0.4087,5.5345,1.8955,1.6543,46.1226,0.2429,1.2413,0.5655,0.0475,42.9433,0.1968,0.2076,0.9377,0.4562,0.063,0.5162,0.6813,0.1651,0.2602,0.888,0.9756,0.2268
s1,2,randomize,0.45,500,0.898,0.999,0.4287,5.2758,1.9027,1.608,48.5497,0.2413,1.1843,0.5305,0.0478,30.7555,0.1303,0.1435,0.9314,0.4166,0.0427,0.4573,0.5997,0.1425,0.2117,0.884,0.9674,0.2087
s1,2,randomize,0.6,500,0.862,0.9128,0.4498,5.0721,1.9027,1.5406,51.4588,0.2389,1.1317,0.4924,0.0483,35.4696,0.0802,0.0934,0.9182,0.373,0.0261,0.3976,0.5233,0.1257,0.1645,0.876,0.9576,0.1902
s1,2,randomize,0.75,500,0.816,0.8256,0.4753,4.8155,1.8523,1.5368,54.086,0.2374,1.0682,0.4514,0.0437,57.5256,0.0424,0.0514,0.902,0.3258,0.0132,0.3381,0.4521,0.1139,0.1176,0.85,0.9366,0.1729
s1,2,randomize,0.9,500,0.72,0.7318,0.5064,4.6198,1.7904,1.6639,52.2641,0.2329,1.0074,0.4043,0.0449,39.0783,0.0152,0.0216,0.8752,0.2636,0.004,0.2674,0.3747,0.1073,0.0667,0.808,0.9084,0.1532
s1,2,randomize,1.0,500,0.66,0.6924,0.5236,4.5219,1.7312,1.7909,49.3529,0.232,0.9802,0.3886,0.0431,40.6737,0.0078,0.0153,0.8649,0.2344,0.0018,0.2357,0.3411,0.1054,0.0459,0.778,0.8863,0.147
s1,3,silence,0.0,500,0.954,1.2733,0.3665,6.5618,1.863,1.717,40.2374,0.244,1.3353,0.6136,0.0455,1155.2588,0.3898,0.3791,0.9568,0.5295,0.1095,0.6323,0.856,0.2237,0.3504,0.922,0.9794,0.2739
s1,3,silence,0.15,500,0.954,1.2625,0.3648,6.3976,1.8955,1.6897,40.6494,0.2446,1.3434,0.6176,0.0468,47.7262,0.2725,0.2705,0.9564,0.5337,0.0838,0.6119,0.8101,0.1982,0.3054,0.914,0.9764,0.275
s1,3,silence,0.3,500,0.952,1.2478,0.3646,6.1466,1.9238,1.6639,41.2784,0.2447,1.3434,0.6162,0.0475,34.1746,0.1926,0.1966,0.9536,0.5323,0.0617,0.5895,0.7663,0.1767,0.2608,0.896,0.9701,0.273
s1,3,silence,0.45,500,0.954,1.2175,0.3691,6.0631,1.9367,1.6205,42.3472,0.2446,1.3307,0.6044,0.0478,28.3136,0.1314,0.1396,0.9494,0.5221,0.0426,0.5612,0.7208,0.1596,0.2167,0.9,0.9657,0.2658
s1,3,silence,0.6,500,0.954,1.1702,0.378,6.0193,1.9293,1.5786,43.5006,0.2441,1.3039,0.5844,0.0477,24.0717,0.0849,0.0957,0.9405,0.4997,0.0272,0.5245,0.671,0.1466,0.1735,0.896,0.9606,0.2526
s1,3,silence,0.75,500,0.952,1.0918,0.3957,5.8787,1.8835,1.521,45.5713,0.2436,1.2602,0.5463,0.0448,20.9113,0.0491,0.059,0.923,0.457,0.0151,0.4707,0.6063,0.1356,0.1302,0.886,0.9501,0.2292
s1,3,silence,0.9,500,0.924,0.93,0.4346,5.6882,1.7524,1.4675,48.8679,0.2377,1.1765,0.4739,0.0467,13.5949,0.0218,0.0347,0.8819,0.3646,0.0062,0.3707,0.496,0.1253,0.0856,0.862,0.9091,0.1918
s1,3,silence,1.0,500,0.884,0.7895,0.4789,5.4387,1.6219,1.5158,49.2848,0.2341,1.0913,0.4065,0.0466,11.954,0.0097,0.0227,0.8286,0.2845,0.0026,0.2874,0.4073,0.1199,0.0573,0.828,0.8651,0.1674
s1,3,randomize,0.0,500,0.954,1.2734,0.3665,6.5546,1.863,1.717,40.2293,0.244,1.3354,0.6137,0.0455,1152.9014,0.3897,0.3792,0.9568,0.5296,0.1095,0.6324,0.8561,0.2237,0.3504,0.922,0.9788,0.274
s1,3,randomize,0.15,500,0.948,1.1767,0.3839,6.0748,1.8898,1.6857,42.2212,0.2424,1.281,0.5826,0.0467,29.5136,0.2704,0.2736,0.9492,0.4991,0.0842,0.5776,0.7676,0.19,0.3046,0.912,0.9703,0.2589
s1,3,randomize,0.3,500,0.938,1.0944,0.4009,5.7717,1.9075,1.6738,43.5304,0.2408,1.2291,0.5516,0.0481,22.1174,0.1931,0.2045,0.9435,0.4681,0.0626,0.5264,0.691,0.1645,0.2606,0.898,0.9667,0.244
s1,3,randomize,0.45,500,0.922,1.0009,0.4228,5.4636,1.9039,1.6638,46.2208,0.2382,1.1672,0.5144,0.0491,18.233,0.1294,0.1417,0.9345,0.4292,0.0431,0.4689,0.6114,0.1426,0.2148,0.894,0.9573,0.2264
s1,3,randomize,0.6,500,0.89,0.9138,0.4446,5.293,1.8915,1.6135,48.6251,0.2342,1.1061,0.4741,0.0515,15.2056,0.0794,0.0922,0.9211,0.3865,0.0266,0.4107,0.5367,0.1261,0.1686,0.886,0.9517,0.2069
s1,3,randomize,0.75,500,0.84,0.808,0.4758,5.0199,1.8405,1.6,49.7988,0.2311,1.0367,0.425,0.0499,32.1771,0.039,0.0515,0.9023,0.3295,0.0128,0.3411,0.4546,0.1135,0.1166,0.848,0.9317,0.185
s1,3,randomize,0.9,500,0.744,0.7159,0.5079,4.7818,1.7748,1.6935,48.5855,0.226,0.9726,0.3796,0.0464,33.805,0.0124,0.0234,0.8825,0.2674,0.0036,0.2709,0.3788,0.1079,0.0621,0.806,0.89,0.1641
s1,3,randomize,1.0,500,0.658,0.6868,0.522,5.0026,1.7092,1.9483,46.0744,0.2224,0.9247,0.3605,0.0456,92.2458,0.0065,0.0145,0.8578,0.2324,0.0014,0.2337,0.3398,0.1061,0.0402,0.802,0.8704,0.1564
s1,4,silence,0.0,500,0.96,1.2472,0.3758,6.0772,1.8441,1.7771,41.6818,0.2466,1.3375,0.6219,0.0444,359.3894,0.3793,0.3713,0.9548,0.5271,0.1063,0.628,0.8544,0.2264,0.3394,0.914,0.9889,0.2754
s1,4,silence,0.15,500,0.958,1.2404,0.3748,6.9937,1.883,1.7328,41.9366,0.2463,1.3417,0.6258,0.0455,107.4904,0.2639,0.2615,0.9522,0.5297,0.0814,0.6067,0.807,0.2003,0.2943,0.908,0.9806,0.2752
s1,4,silence,0.3,500,0.958,1.2196,0.375,6.0288,1.907,1.7098,42.2791,0.2455,1.3387,0.622,0.0462,145.7792,0.1824,0.1855,0.951,0.5272,0.0598,0.5836,0.763,0.1793,0.249,0.91,0.9722,0.2719
s1,4,silence,0.45,500,0.956,1.1921,0.3786,5.955,1.9219,1.6444,43.0386,0.2446,1.3254,0.6101,0.0461,94.8712,0.1241,0.1295,0.9468,0.5166,0.0418,0.5559,0.7186,0.1627,0.2069,0.902,0.9666,0.2642
s1,4,silence,0.6,500,0.952,1.1442,0.3869,5.7981,1.9161,1.6387,43.4993,0.2432,1.2964,0.5841,0.0438,46.5388,0.0792,0.0859,0.9398,0.4919,0.0267,0.517,0.6663,0.1493,0.1653,0.894,0.9552,0.2498
s1,4,silence,0.75,500,0.942,1.0506,0.406,5.5725,1.8571,1.5605,46.0158,0.2405,1.2453,0.5353,0.0419,33.0751,0.044,0.0511,0.9237,0.4408,0.0145,0.4547,0.5925,0.1378,0.1229,0.872,0.9371,0.2247
s1,4,silence,0.9,500,0.916,0.8895,0.4502,5.3529,1.7312,1.5087,49.4116,0.2365,1.1359,0.4456,0.0384,39.9835,0.0187,0.0243,0.8771,0.345,0.0056,0.3509,0.4796,0.1287,0.0801,0.87,0.881,0.1877
s1,4,silence,1.0,500,0.878,0.8153,0.4803,5.105,1.5967,1.6446,51.7665,0.2291,1.0356,0.3971,0.0354,76.0257,0.01,0.0156,0.8241,0.2849,0.0024,0.2874,0.4128,0.1254,0.0571,0.858,0.8467,0.1741
s1,4,randomize,0.0,500,0.96,1.2471,0.3758,6.0764,1.8441,1.775,41.6977,0.2466,1.3373,0.6221,0.0442,359.5682,0.3794,0.3714,0.9548,0.527,0.1063,0.628,0.8543,0.2264,0.3394,0.914,0.9875,0.2754
s1,4,randomize,0.15,500,0.946,1.1621,0.3908,5.7733,1.8836,1.7125,44.4146,0.2452,1.287,0.5951,0.0463,44.5079,0.262,0.2677,0.9489,0.4968,0.082,0.5746,0.7673,0.1927,0.2941,0.91,0.9753,0.2596
s1,4,randomize,0.3,500,0.94,1.0735,0.4104,5.3941,1.8997,1.6702,46.8184,0.2426,1.2232,0.5593,0.0467,25.4729,0.1836,0.1951,0.9415,0.4636,0.0606,0.5208,0.6866,0.1658,0.2505,0.902,0.9638,0.2419
s1,4,randomize,0.45,500,0.918,0.9816,0.4321,5.1481,1.8969,1.6122,50.427,0.2402,1.1603,0.5206,0.0463,20.253,0.1219,0.1334,0.932,0.4218,0.0417,0.4609,0.6043,0.1434,0.2062,0.898,0.9516,0.2219
s1,4,randomize,0.6,500,0.886,0.9009,0.4526,4.9637,1.877,1.6027,51.2054,0.2359,1.1072,0.4813,0.045,16.9875,0.0759,0.0856,0.9222,0.3819,0.0261,0.4063,0.5338,0.1275,0.1628,0.884,0.9469,0.2037
s1,4,randomize,0.75,500,0.84,0.7934,0.4859,4.6733,1.8304,1.6381,52.8268,0.2318,1.0273,0.4293,0.0411,15.2832,0.0373,0.0452,0.9016,0.326,0.0128,0.3378,0.4528,0.115,0.1147,0.852,0.9283,0.1806
s1,4,randomize,0.9,500,0.742,0.7145,0.5134,4.4636,1.7652,1.593,55.3644,0.2296,0.976,0.3917,0.0395,16.321,0.0134,0.018,0.8862,0.2702,0.0041,0.274,0.3832,0.1091,0.0673,0.824,0.8949,0.1623
s1,4,randomize,1.0,500,0.656,0.6754,0.5324,4.2368,1.6983,1.7866,53.1611,0.2311,0.9372,0.3773,0.039,18.4294,0.0055,0.0083,0.8694,0.2343,0.0016,0.2356,0.3434,0.1078,0.0422,0.802,0.8542,0.1528
s1,5,silence,0.0,500,0.956,1.263,0.3678,5.8876,1.8576,1.7155,40.3407,0.247,1.3503,0.6265,0.0445,60.0963,0.3755,0.3607,0.9516,0.5377,0.1077,0.6378,0.8602,0.2224,0.3445,0.914,0.9878,0.2699
s1,5,silence,0.15,500,0.958,1.2509,0.3669,5.9008,1.8903,1.6806,40.4768,0.2469,1.3547,0.6306,0.0468,35.8318,0.2623,0.2547,0.9513,0.5407,0.0824,0.6169,0.814,0.1971,0.2996,0.904,0.9812,0.2702
s1,5,silence,0.3,500,0.96,1.2352,0.3673,5.9064,1.9154,1.65,40.9258,0.2464,1.3519,0.6267,0.0464,29.8291,0.1859,0.1848,0.9497,0.5386,0.0607,0.5945,0.7703,0.1759,0.2561,0.896,0.9766,0.2675
s1,5,silence,0.45,500,0.958,1.2063,0.3712,5.8893,1.9304,1.6326,41.108,0.2459,1.3418,0.6156,0.0463,26.1548,0.1283,0.1302,0.9444,0.5261,0.0426,0.5651,0.724,0.1589,0.2137,0.896,0.9716,0.259
s1,5,silence,0.6,500,0.956,1.1514,0.3819,5.8163,1.9182,1.5921,42.3007,0.2453,1.3138,0.5883,0.0453,25.0646,0.0817,0.0883,0.9337,0.4978,0.0271,0.5227,0.6674,0.1447,0.1703,0.894,0.9644,0.2429
s1,5,silence,0.75,500,0.938,1.057,0.4008,5.663,1.8752,1.5288,44.4295,0.2433,1.2573,0.5427,0.0411,20.4357,0.047,0.0529,0.9124,0.4423,0.0151,0.4561,0.5887,0.1326,0.128,0.874,0.952,0.2165
s1,5,silence,0.9,500,0.898,0.8861,0.4462,5.4584,1.7401,1.4855,47.1438,0.2398,1.1626,0.4551,0.0448,20.3284,0.0202,0.0267,0.8672,0.3391,0.006,0.345,0.467,0.122,0.0833,0.84,0.9015,0.1798
s1,5,silence,1.0,500,0.842,0.8043,0.475,5.3874,1.634,1.5392,48.8161,0.2345,1.0791,0.407,0.0441,32.0146,0.0102,0.0164,0.8175,0.2761,0.0028,0.2791,0.3977,0.1186,0.0582,0.822,0.8702,0.16
s1,5,randomize,0.0,500,0.956,1.263,0.3678,5.8877,1.8577,1.7197,40.3216,0.247,1.3503,0.6266,0.0445,185.7097,0.3755,0.3607,0.9516,0.5377,0.1077,0.6378,0.8603,0.2224,0.3445,0.914,0.9883,0.2699
s1,5,randomize,0.15,500,0.95,1.1757,0.383,5.6921,1.8875,1.6926,41.3367,0.2444,1.2949,0.596,0.045,28.6882,0.2645,0.2657,0.946,0.5082,0.0835,0.5854,0.7758,0.1903,0.3012,0.902,0.9793,0.2553
s1,5,randomize,0.3,500,0.938,1.0857,0.4015,5.4344,1.8985,1.6631,43.1924,0.2424,1.234,0.5615,0.0455,21.3339,0.1856,0.192,0.9399,0.4727,0.0615,0.5293,0.692,0.1627,0.2568,0.896,0.9722,0.238
s1,5,randomize,0.45,500,0.916,0.9983,0.421,5.2328,1.9141,1.6463,45.7924,0.2406,1.1813,0.5256,0.0462,16.7647,0.1254,0.1347,0.9322,0.4331,0.0425,0.4721,0.6135,0.1414,0.2121,0.884,0.9651,0.2206
