condition,seed,spatial_sRSA,sRSA_euclid_computed,sRSA_city_computed,json_srsa,RA,PAA_gain,SCI,C2_Contrast,DTG,DecodeErr,coherence_median,coherence_mean,coherence_mean_valid,coherence_frac_gt_10,coherence_frac_gt_50,coherence_frac_gt_100,rgc_stress,rgc_stress_pca,pca_var_2d,n_valid_units,stored_n_valid_units
S1,seed_00,0.8105922048857808,0.8105921910186,0.8148346802020588,0.8105922048857808,0.09779096316009943,0.0,0.9811792806639598,0.032602459192276,-0.00424248918345882,0.00016423653925961537,3.8965526436660807,6.23765641402691,6.23765641402691,0.10040160642570281,0.006024096385542169,0.002008032128514056,0.3562183556305389,12.092368131458151,0.35390418767929077,498,498
S1,seed_01,0.8462460071261264,0.8462460125117142,0.8457155646583526,0.8462460071261264,0.10198225657512659,0.0,1.0164972773215106,0.038958966732025146,0.0005304478533615375,0.000160453478564131,3.9052189125889245,5.955774419555467,5.955774419555467,0.08651911468812877,0.002012072434607646,0.002012072434607646,0.3536588876637015,12.201532634097285,0.35546809434890747,497,497
S1,seed_02,0.8334089840059801,0.8334089925298367,0.8337284441539081,0.8334089840059801,0.09260601667908368,0.0,1.0178144603847445,0.044750750064849854,-0.0003194516240714318,0.00017749884844373468,3.869932053452218,5.6936503669949765,5.6936503669949765,0.09494949494949495,0.00202020202020202,0.00202020202020202,0.35734644866076565,12.437079443191921,0.3524324893951416,495,495
S2,seed_00,0.7113175289957075,0.7113175405925011,0.7007704439603896,0.7113175289957075,0.11999771544091449,0.0031480501621442003,0.8260888052922375,-0.0658719539642334,0.010547096632111508,0.00028633510652598413,4.545575053545328,7.951467735699749,7.951467735699749,0.12423625254582485,0.008146639511201629,0.006109979633401222,0.37877262947583185,11.794885061571852,0.3338465988636017,491,491
S2,seed_01,0.7364242809041909,0.7364242805970794,0.729023330909208,0.7364242809041909,0.10266950338026197,0.0020843145019431852,0.7870854361040409,-0.07604840397834778,0.0074009496878714165,0.0002486327424930659,4.270833032112469,8.061067894770398,8.061067894770398,0.14227642276422764,0.006097560975609756,0.006097560975609756,0.38755405093766293,11.724857737253583,0.3274666965007782,492,492
S2,seed_02,0.7282485617716322,0.7282485630929049,0.7111219346209086,0.7282485617716322,0.11877689165158158,0.001063735660201015,0.8354208380059382,-0.07300630211830139,0.017126628471996308,0.00028968349133299165,4.206225463141791,6.17615979628273,6.17615979628273,0.1191919191919192,0.00808080808080808,0.0,0.3765677263921159,11.936242906149042,0.3405657112598419,495,495
S4,seed_00,0.7069953907745138,0.7069953787666208,0.7620315518960232,0.7069953907745138,0.21701500927471024,0.0013525108058502489,0.8041319784306873,0.05339425802230835,-0.055036173129402455,0.00029208504351461865,5.98213491125354,14.30764715065537,14.30764715065537,0.2698072805139186,0.03854389721627409,0.021413276231263382,0.3815834887207929,11.39241202237056,0.32667937874794006,467,467
S4,seed_01,0.7081944196744091,0.708194416807302,0.7554465715074136,0.7081944196744091,0.21114554988537046,0.0012101322819673688,0.7822852508627176,0.05807614326477051,-0.04725215470011157,0.00035062473839659626,5.861940819649895,11.558524098151993,11.558524098151993,0.24017467248908297,0.03056768558951965,0.013100436681222707,0.3608035978321061,12.31451544354506,0.3439522683620453,458,458
S4,seed_02,0.7120783287077845,0.712078328509372,0.7550202381927915,0.7120783287077845,0.21323347106796278,0.00031716270137069347,0.8217630527273729,0.0628267228603363,-0.04294190968341949,0.0002780303890519931,5.495500703613011,12.969055790829213,12.969055790829213,0.24086021505376345,0.021505376344086023,0.010752688172043012,0.36743941705618965,11.997965035868965,0.34333667159080505,465,465
S4,seed_03,0.7049312152244789,0.7049312107826698,0.7528528518627763,0.7049312152244789,0.2203132497355199,0.002041189974872515,0.8103820863500114,0.05149918794631958,-0.047921641080106436,0.0003938579209516342,5.751737744236124,13.889161122126406,13.889161122126406,0.22532188841201717,0.03862660944206009,0.019313304721030045,0.36527789367282293,12.172824902103246,0.3447621166706085,466,466
S4,seed_04,0.6982607046019038,0.698260701850099,0.7521253309920135,0.6982607046019038,0.22476283066979535,0.0023750038562515285,0.8123949542049258,0.046887099742889404,-0.05386462914191448,0.00034769636661194315,5.8065766895556,47.948661023420385,47.948661023420385,0.2478813559322034,0.029661016949152543,0.00847457627118644,0.3907735289161722,11.12770380974152,0.3226516842842102,472,472
