condition,seed,steps,srsa_euclid,srsa_city,loss,manifold_id,pca_variance_2d,mds_stress,mean_field_coherence,DTG_series,observation_discriminability
S1,seed_01,1000,0.3824653454497642,0.3831857655947568,0.029798736795783043,7.096487142064012,0.7624753713607788,0.205013554642974,13.403791161679669,-0.0007204201449926284,0.33600394439152487
S1,seed_01,2000,0.5068033196580379,0.4984916667924955,0.023170948028564453,5.066608865948393,0.6399980187416077,0.18397605325628044,69.92468832105236,0.008311652865542418,0.33600394439152487
S1,seed_01,3000,0.5747559337221687,0.569343427406772,0.019221961498260498,5.792438304735986,0.6104087829589844,0.1940228371478851,19.867478198238736,0.005412506315396692,0.33600394439152487
S1,seed_01,4000,0.6047246169571249,0.5947241676349606,0.016263801604509354,4.936402240379916,0.5691397786140442,0.22017791066180345,9.190415867197887,0.010000449322164262,0.33600394439152487
S1,seed_01,5000,0.6389062490416652,0.6369704679627891,0.013048152439296246,5.376363673574416,0.5670798420906067,0.22205258126177288,10.83223717660373,0.0019357810788760421,0.33600394439152487
S1,seed_01,6000,0.6484460696528168,0.6458428435496025,0.01193505059927702,5.093786684801798,0.543594241142273,0.2165969598357139,7.288476678382622,0.0026032261032142845,0.33600394439152487
S1,seed_01,7000,0.664084176067201,0.6663752514620375,0.010631484910845757,5.426436359514767,0.5269938111305237,0.23065177489227756,7.512308729793375,-0.002291075394836417,0.33600394439152487
S1,seed_01,8000,0.6526451219230093,0.6493709224375697,0.009582169353961945,5.627881286678869,0.5238401889801025,0.2223115959558254,6.235727888515392,0.0032741994854396106,0.33600394439152487
S1,seed_01,9000,0.6707015913929285,0.6724554307255449,0.008815682493150234,5.220321093722414,0.5165925621986389,0.22677469996656285,6.827674598851997,-0.0017538393326164137,0.33600394439152487
S1,seed_01,10000,0.6653934523242617,0.6641930873125143,0.007996163330972195,4.977395907088684,0.5170905590057373,0.22609010306774616,6.993199437942403,0.001200365011747473,0.33600394439152487
S1,seed_01,11000,0.6818982709472808,0.6812225534892175,0.007633582688868046,5.388139729925573,0.5059738159179688,0.22882870920809653,9.631314184303921,0.0006757174580633851,0.33600394439152487
S1,seed_01,12000,0.6676219138082793,0.6711320734808393,0.0077630989253520966,5.120644451956536,0.4971334934234619,0.23386853540883806,7.72037521814124,-0.003510159672559965,0.33600394439152487
S1,seed_01,13000,0.6968455502653154,0.7068165235023324,0.0071806153282523155,5.087700471314934,0.48907604813575745,0.2441155714209972,6.644794168085658,-0.009970973237017011,0.33600394439152487
