Condition,Seed,sRSA_json,sRSA_pkl,sRSA_computed,RA,PAA_gain,SCI,C2_Contrast,DecodeErr,DTG,coherence_median,coherence_mean,rgc_stress
S1,seed_00,0.8105922048857808,0.8105922048857808,0.8105921910186,0.0977909631600994,0.0,0.9811792806639598,0.032602459192276,0.0001642365392596,-0.0042424891834588,3.8965526436660807,6.23765641402691,0.3562183556305389
S1,seed_01,0.8462460071261264,0.8462460071261264,0.8462460125117142,0.1019822565751265,0.0,1.0164972773215106,0.0389589667320251,0.0001604534785641,0.0005304478533615,3.905218912588925,5.955774419555467,0.3536588876637015
S1,seed_02,0.8334089840059801,0.8334089840059801,0.8334089925298367,0.0926060166790836,0.0,1.0178144603847443,0.0447507500648498,0.0001774988484437,-0.0003194516240714,3.869932053452218,5.6936503669949765,0.3573464486607656
S2,seed_00,0.7113175289957075,0.7113175289957075,0.7113175405925011,0.1199977154409144,0.0031480501621442,0.8260888052922375,-0.0658719539642334,0.0002863351065259,0.0105470966321115,4.545575053545328,7.951467735699749,0.3787726294758318
S2,seed_01,0.7364242809041909,0.7364242809041909,0.7364242805970794,0.1026695033802619,0.0020843145019431,0.7870854361040409,-0.0760484039783477,0.000248632742493,0.0074009496878714,4.270833032112469,8.061067894770398,0.3875540509376629
S2,seed_02,0.7282485617716322,0.7282485617716322,0.7282485630929049,0.1187768916515815,0.001063735660201,0.8354208380059382,-0.0730063021183013,0.0002896834913329,0.0171266284719963,4.206225463141791,6.17615979628273,0.3765677263921159
S4,seed_00,0.7069953907745138,0.7069953907745138,0.7069953787666208,0.2170150092747102,0.0013525108058502,0.8041319784306873,0.0533942580223083,0.0002920850435146,-0.0550361731294024,5.98213491125354,14.30764715065537,0.3815834887207929
S4,seed_01,0.7081944196744091,0.7081944196744091,0.708194416807302,0.2111455498853704,0.0012101322819673,0.7822852508627176,0.0580761432647705,0.0003506247383965,-0.0472521547001115,5.861940819649895,11.558524098151992,0.3608035978321061
S4,seed_02,0.7120783287077845,0.7120783287077845,0.712078328509372,0.2132334710679627,0.0003171627013706,0.8217630527273729,0.0628267228603363,0.0002780303890519,-0.0429419096834194,5.495500703613011,12.969055790829213,0.3674394170561896
S4,seed_03,0.7049312152244789,0.7049312152244789,0.7049312107826698,0.2203132497355199,0.0020411899748725,0.8103820863500114,0.0514991879463195,0.0003938579209516,-0.0479216410801064,5.751737744236124,13.889161122126406,0.3652778936728229
S4,seed_04,0.6982607046019038,0.6982607046019038,0.698260701850099,0.2247628306697953,0.0023750038562515,0.8123949542049258,0.0468870997428894,0.0003476963666119,-0.0538646291419144,5.8065766895556,47.94866102342039,0.3907735289161722
