condition,seed,steps,srsa_euclid,srsa_city,loss,manifold_id,pca_variance_2d,mds_stress,mean_field_coherence,DTG_series,observation_discriminability
S2,seed_01,1000,0.26920898346896055,0.2712366522848615,0.029065409675240517,9.040769142562528,0.78730309009552,0.2085050471687953,17.90511096373857,-0.0020276688159009404,0.33600394439152487
S2,seed_01,2000,0.32374396945006717,0.31867180094090025,0.024707021191716194,5.8961458974722225,0.6496895551681519,0.16940091039777344,28.125819058442563,0.005072168509166919,0.33600394439152487
S2,seed_01,3000,0.4394305477941793,0.4353818509394312,0.020634489133954048,5.879560954576058,0.5876181125640869,0.17362693538049415,24.237770620228147,0.004048696854748068,0.33600394439152487
S2,seed_01,4000,0.4883570314522779,0.4790840538375796,0.017093881964683533,5.183233488975078,0.5507256984710693,0.21551229094011062,12.657999528734235,0.009272977614698252,0.33600394439152487
S2,seed_01,5000,0.5245539670899336,0.5224908107532579,0.01367404218763113,5.471462742784166,0.5267574191093445,0.2294922258798466,14.576181682738044,0.0020631563366757533,0.33600394439152487
S2,seed_01,6000,0.5601924824265038,0.5563629847297489,0.012357856146991253,5.250816297764871,0.5148358941078186,0.23071804301164575,11.003843148700396,0.003829497696754891,0.33600394439152487
S2,seed_01,7000,0.5791477787775484,0.5783843529419267,0.010651231743395329,4.961370172503748,0.500154435634613,0.2343891132930733,6.928137963361008,0.0007634258356217227,0.33600394439152487
S2,seed_01,8000,0.5768824488616121,0.5724666098955269,0.009697637520730495,5.542519460493522,0.491345077753067,0.2444364400495822,6.327401588519966,0.004415838966085217,0.33600394439152487
S2,seed_01,9000,0.5944955489776141,0.5947786672657287,0.008754735812544823,4.953708191979647,0.47971755266189575,0.2476284604084127,9.536523563710771,-0.00028311828811455886,0.33600394439152487
S2,seed_01,10000,0.5971297942136764,0.5957571086949439,0.007635355461388826,4.948563917027988,0.48449721932411194,0.24561449206783725,6.824093729740965,0.001372685518732486,0.33600394439152487
S2,seed_01,11000,0.6091487031353825,0.60726510370931,0.00735353073105216,5.136272100178863,0.46557047963142395,0.25832189522997495,6.250401452265818,0.0018835994260725242,0.33600394439152487
S2,seed_01,12000,0.612626969153952,0.6146281989787772,0.007213779259473085,5.32190031885289,0.4502643644809723,0.2685640784972783,6.956610447352337,-0.0020012298248252014,0.33600394439152487
S2,seed_01,13000,0.6188897878750534,0.6259408729527277,0.0064625367522239685,5.228535833034032,0.44372686743736267,0.28749187988397745,8.289754075870722,-0.007051085077674268,0.33600394439152487
