Condition,Step,RA,spatial_sRSA,DTG,source
S4,final,0.2170150092747102,0.7069953907745138,-0.0550361731294024,evaluation.pkl final H
S2,final,0.1199977154409144,0.7113175289957075,0.0105470966321115,evaluation.pkl final H
S1,final,0.0977909631600994,0.8105922048857808,-0.0042424891834588,evaluation.pkl final H
