env_name,canonical_name,aliasing_score,duplicate_patch_fraction,symmetry_axes,n_bottlenecks,disconnected,warnings
ambiguous_junctions,plus_maze_tau=8_lambda=0.03_H=0.03_omega=0.05,0.642231944859313,0.8070175438596491,"['vertical', 'horizontal', 'point']",0.0,False,`ambiguous_junctions` has identical patches across 80.7% of sampled positions.
bottleneck_room,bottleneck_room_tau=2_lambda=0.18_H=0.25_omega=0.65,0.6557415772529575,0.8070175438596491,[],3.0,False,`bottleneck_room` has identical patches across 80.7% of sampled positions.
boundary_only_landmarks,square_tau=2_lambda=0.18_H=0.25_omega=0.65,0.6763202363758215,0.7797270955165692,"['vertical', 'horizontal', 'point']",0.0,False,`boundary_only_landmarks` has identical patches across 78.0% of sampled positions.
branching_tree,branching_tree_tau=2_lambda=0.18_H=0.25_omega=0.65,0.5912328435281662,0.834307992202729,[],0.0,False,`branching_tree` has identical patches across 83.4% of sampled positions.
center_only_landmark,square_tau=2_lambda=0.18_H=0.25_omega=0.65,0.6966586156881281,0.783625730994152,"['vertical', 'horizontal', 'point']",0.0,False,`center_only_landmark` has identical patches across 78.4% of sampled positions.
checkerboard_large_period,square_tau=6_lambda=0.1_H=0.12_omega=0.3,0.6776081323623657,0.7017543859649122,"['vertical', 'horizontal', 'point']",0.0,False,`checkerboard_large_period` has identical patches across 70.2% of sampled positions.
circle_approx,circle_approx_tau=2_lambda=0.18_H=0.25_omega=0.65,0.675749625687856,0.7115009746588694,"['vertical', 'horizontal', 'point']",0.0,False,`circle_approx` has identical patches across 71.2% of sampled positions.
corridor,corridor_tau=2_lambda=0.18_H=0.25_omega=0.65,0.6200677750045306,0.898635477582846,"['vertical', 'horizontal', 'point']",0.0,False,`corridor` has identical patches across 89.9% of sampled positions.
dead_end_maze,dead_end_maze_tau=2_lambda=0.18_H=0.25_omega=0.65,0.6075998073243826,0.7875243664717348,[],0.0,False,`dead_end_maze` has identical patches across 78.8% of sampled positions.
double_loop,double_loop_tau=2_lambda=0.18_H=0.25_omega=0.65,0.6832526363679116,0.6140350877192983,['vertical'],0.0,False,`double_loop` has identical patches across 61.4% of sampled positions.
