condition,seed_id,spectral_gap,top_eigval,srsa
S1,0,0.2608456611633301,1.9837181568145752,0.8105922048857808
S1,1,0.23132574558258057,1.9526079893112183,0.8462460071261264
S1,2,0.3033369779586792,1.9657920598983765,0.8334089840059801
S2,0,0.42948007583618164,2.134432792663574,0.7113175289957075
S2,1,0.4351569414138794,2.125249147415161,0.7364242809041909
S2,2,0.44092583656311035,2.1223466396331787,0.7282485617716322
S4,0,0.703717827796936,2.4662020206451416,0.7069953907745138
S4,1,0.7799301147460938,2.461294412612915,0.7081944196744091
S4,2,0.7215696573257446,2.410487651824951,0.7120783287077845
S4,3,0.7110922336578369,2.3914408683776855,0.7049312152244789
S4,4,0.7541450262069702,2.4232494831085205,0.6982607046019038
